"ISO3","countryname","year","rGDP","unemp","CPI"
"IND","India",1942,5725567,NA,0.93347037
"IND","India",1943,5833656.5,NA,1.3675045
"IND","India",1944,5653453.5,NA,1.409124
"IND","India",1945,5465216.5,NA,1.3664232
"IND","India",1946,5068320,NA,1.4518248
"IND","India",1947,5020560.5,NA,1.6653284
"IND","India",1948,4974613.5,NA,1.8361315
"IND","India",1949,5018342,NA,1.8788321
"IND","India",1950,4991277.5,NA,1.8788322
"IND","India",1951,5139642.5,NA,1.9532412
"IND","India",1952,5261737,NA,1.9160368
"IND","India",1953,5581912.5,NA,1.9718437
"IND","India",1954,5853106.5,NA,1.8592976
"IND","India",1955,6048485,NA,1.7083942
"IND","India",1956,6377541,NA,1.9161233
"IND","India",1957,6346446.5,NA,2.028827
"IND","India",1958,6801745,NA,2.0712881
"IND","India",1959,6986431,NA,2.155895
"IND","India",1960,7370417,NA,2.2940123
"IND","India",1961,7644799,NA,2.3481541
"IND","India",1962,7868878,NA,2.370569
"IND","India",1963,8340566,NA,2.4791691
"IND","India",1964,8962184,NA,2.7366197
"IND","India",1965,8725962,NA,2.9596598
"IND","India",1966,8721134,NA,3.3152928
"IND","India",1967,9403647,NA,3.8131468
"IND","India",1968,9722235,NA,3.7981513
"IND","India",1969,10358040,NA,3.877707
"IND","India",1970,10892228,NA,4.1165318
"IND","India",1971,11071181,NA,4.3212614
"IND","India",1972,11009923,NA,4.7016764
"IND","India",1973,11372758,NA,5.4730816
"IND","India",1974,11507563,NA,7.0372024
"IND","India",1975,12560495,NA,7.3129635
"IND","India",1976,12769389,NA,7.168848
"IND","India",1977,13695778,NA,7.7116895
"IND","India",1978,14478154,NA,7.6938524
"IND","India",1979,13719762,NA,8.5905895
"IND","India",1980,14643900,NA,10.317295
"IND","India",1981,15523500,NA,11.623325
"IND","India",1982,16063000,NA,12.522597
"IND","India",1983,17233900,NA,14.095165
"IND","India",1984,17892300,NA,15.01298
"IND","India",1985,18832400,NA,15.951653
"IND","India",1986,19732000,NA,17.370092
"IND","India",1987,20514400,NA,18.943819
"IND","India",1988,22489500,NA,20.310108
"IND","India",1989,23827000,NA,21.238354
"IND","India",1990,25145500,NA,23.616325
"IND","India",1991,25411200,NA,26.799704
"IND","India",1992,26804400,NA,29.443054
"IND","India",1993,28077800,NA,31.586937
"IND","India",1994,29947500,2.1470001,34.831734
"IND","India",1995,32215800,NA,38.301346
"IND","India",1996,34648000,NA,41.914661
"IND","India",1997,36051200,NA,44.782833
"IND","India",1998,38280700,NA,50.661705
"IND","India",1999,41666900,NA,52.396515
"IND","India",2000,43267400,2.2,54.396698
"IND","India",2001,45354600,NA,56.812916
"IND","India",2002,47079800,NA,59.652111
