Date,Series Name,Output,Unit,Observation Status,Observation Status Comment
10/1993,Total Cement Sales,686.6,Thousand Metric Ton,Normal,
10/1993, Domestic Cement Sales,686.6,Thousand Metric Ton,Normal,
10/1993,Export Cement Sales,,Thousand Metric Ton,Missing value,
11/1993,Total Cement Sales,720,Thousand Metric Ton,Normal,
11/1993, Domestic Cement Sales,720,Thousand Metric Ton,Normal,
11/1993,Export Cement Sales,,Thousand Metric Ton,Missing value,
12/1993,Total Cement Sales,708.5,Thousand Metric Ton,Normal,
12/1993, Domestic Cement Sales,708.5,Thousand Metric Ton,Normal,
12/1993,Export Cement Sales,,Thousand Metric Ton,Missing value,
01/1994,Total Cement Sales,679,Thousand Metric Ton,Normal,
01/1994, Domestic Cement Sales,679,Thousand Metric Ton,Normal,
01/1994,Export Cement Sales,,Thousand Metric Ton,Missing value,
02/1994,Total Cement Sales,605.3,Thousand Metric Ton,Normal,
02/1994, Domestic Cement Sales,605.3,Thousand Metric Ton,Normal,
02/1994,Export Cement Sales,,Thousand Metric Ton,Missing value,
03/1994,Total Cement Sales,626.4,Thousand Metric Ton,Normal,
03/1994, Domestic Cement Sales,626.4,Thousand Metric Ton,Normal,
03/1994,Export Cement Sales,,Thousand Metric Ton,Missing value,
04/1994,Total Cement Sales,669.2,Thousand Metric Ton,Normal,
04/1994, Domestic Cement Sales,669.2,Thousand Metric Ton,Normal,
04/1994,Export Cement Sales,,Thousand Metric Ton,Missing value,
05/1994,Total Cement Sales,597.8,Thousand Metric Ton,Normal,
05/1994, Domestic Cement Sales,597.8,Thousand Metric Ton,Normal,
05/1994,Export Cement Sales,,Thousand Metric Ton,Missing value,
06/1994,Total Cement Sales,508.5,Thousand Metric Ton,Normal,
06/1994, Domestic Cement Sales,508.5,Thousand Metric Ton,Normal,
06/1994,Export Cement Sales,,Thousand Metric Ton,Missing value,
07/1994,Total Cement Sales,652.8,Thousand Metric Ton,Normal,
07/1994, Domestic Cement Sales,652.8,Thousand Metric Ton,Normal,
07/1994,Export Cement Sales,,Thousand Metric Ton,Missing value,
08/1994,Total Cement Sales,637.4,Thousand Metric Ton,Normal,
08/1994, Domestic Cement Sales,637.4,Thousand Metric Ton,Normal,
08/1994,Export Cement Sales,,Thousand Metric Ton,Missing value,
09/1994,Total Cement Sales,624.1,Thousand Metric Ton,Normal,
09/1994, Domestic Cement Sales,624.1,Thousand Metric Ton,Normal,
09/1994,Export Cement Sales,,Thousand Metric Ton,Missing value,
10/1994,Total Cement Sales,746.2,Thousand Metric Ton,Normal,
10/1994, Domestic Cement Sales,746.2,Thousand Metric Ton,Normal,
10/1994,Export Cement Sales,,Thousand Metric Ton,Missing value,
11/1994,Total Cement Sales,728.8,Thousand Metric Ton,Normal,
11/1994, Domestic Cement Sales,728.8,Thousand Metric Ton,Normal,
11/1994,Export Cement Sales,,Thousand Metric Ton,Missing value,
12/1994,Total Cement Sales,670,Thousand Metric Ton,Normal,
12/1994, Domestic Cement Sales,670,Thousand Metric Ton,Normal,
12/1994,Export Cement Sales,,Thousand Metric Ton,Missing value,
01/1995,Total Cement Sales,659.6,Thousand Metric Ton,Normal,
01/1995, Domestic Cement Sales,659.6,Thousand Metric Ton,Normal,
01/1995,Export Cement Sales,,Thousand Metric Ton,Missing value,
