Date,Series Name,Output,Unit,Observation Status,Observation Status Comment
11/2002, Domestic Cement Sales,923,Thousand Metric Ton,Normal,
11/2002,Export Cement Sales,24.7,Thousand Metric Ton,Normal,
12/2002,Total Cement Sales,889.6,Thousand Metric Ton,Normal,
12/2002, Domestic Cement Sales,871.5,Thousand Metric Ton,Normal,
12/2002,Export Cement Sales,18.1,Thousand Metric Ton,Normal,
01/2003,Total Cement Sales,1083.9,Thousand Metric Ton,Normal,
01/2003, Domestic Cement Sales,1057.9,Thousand Metric Ton,Normal,
01/2003,Export Cement Sales,26,Thousand Metric Ton,Normal,
02/2003,Total Cement Sales,747.4,Thousand Metric Ton,Normal,
02/2003, Domestic Cement Sales,723.4,Thousand Metric Ton,Normal,
02/2003,Export Cement Sales,23.9,Thousand Metric Ton,Normal,
03/2003,Total Cement Sales,1204.4,Thousand Metric Ton,Normal,
03/2003, Domestic Cement Sales,1155.8,Thousand Metric Ton,Normal,
03/2003,Export Cement Sales,48.6,Thousand Metric Ton,Normal,
04/2003,Total Cement Sales,970.7,Thousand Metric Ton,Normal,
04/2003, Domestic Cement Sales,917.6,Thousand Metric Ton,Normal,
04/2003,Export Cement Sales,53.1,Thousand Metric Ton,Normal,
05/2003,Total Cement Sales,885,Thousand Metric Ton,Normal,
05/2003, Domestic Cement Sales,819.9,Thousand Metric Ton,Normal,
05/2003,Export Cement Sales,65.1,Thousand Metric Ton,Normal,
06/2003,Total Cement Sales,976,Thousand Metric Ton,Normal,
06/2003, Domestic Cement Sales,921.8,Thousand Metric Ton,Normal,
06/2003,Export Cement Sales,54.2,Thousand Metric Ton,Normal,
07/2003,Total Cement Sales,1045,Thousand Metric Ton,Normal,
07/2003, Domestic Cement Sales,964.1,Thousand Metric Ton,Normal,
07/2003,Export Cement Sales,80.9,Thousand Metric Ton,Normal,
08/2003,Total Cement Sales,1044.7,Thousand Metric Ton,Normal,
08/2003, Domestic Cement Sales,951.4,Thousand Metric Ton,Normal,
08/2003,Export Cement Sales,93.4,Thousand Metric Ton,Normal,
09/2003,Total Cement Sales,1121.4,Thousand Metric Ton,Normal,
09/2003, Domestic Cement Sales,1032.4,Thousand Metric Ton,Normal,
09/2003,Export Cement Sales,89,Thousand Metric Ton,Normal,
10/2003,Total Cement Sales,1188.5,Thousand Metric Ton,Normal,
10/2003, Domestic Cement Sales,1096.6,Thousand Metric Ton,Normal,
10/2003,Export Cement Sales,91.9,Thousand Metric Ton,Normal,
11/2003,Total Cement Sales,860.9,Thousand Metric Ton,Normal,
11/2003, Domestic Cement Sales,802.6,Thousand Metric Ton,Normal,
11/2003,Export Cement Sales,58.2,Thousand Metric Ton,Normal,
12/2003,Total Cement Sales,1032.7,Thousand Metric Ton,Normal,
12/2003, Domestic Cement Sales,955.7,Thousand Metric Ton,Normal,
12/2003,Export Cement Sales,77,Thousand Metric Ton,Normal,
01/2004,Total Cement Sales,1139.5,Thousand Metric Ton,Normal,
01/2004, Domestic Cement Sales,1088.5,Thousand Metric Ton,Normal,
01/2004,Export Cement Sales,50.9,Thousand Metric Ton,Normal,
02/2004,Total Cement Sales,959.6,Thousand Metric Ton,Normal,
02/2004, Domestic Cement Sales,884.2,Thousand Metric Ton,Normal,
02/2004,Export Cement Sales,75.4,Thousand Metric Ton,Normal,
03/2004,Total Cement Sales,1397.4,Thousand Metric Ton,Normal,
03/2004, Domestic Cement Sales,1234.1,Thousand Metric Ton,Normal,
03/2004,Export Cement Sales,163.3,Thousand Metric Ton,Normal,
04/2004,Total Cement Sales,1281.5,Thousand Metric Ton,Normal,
04/2004, Domestic Cement Sales,1154.8,Thousand Metric Ton,Normal,
04/2004,Export Cement Sales,126.6,Thousand Metric Ton,Normal,
05/2004,Total Cement Sales,1216,Thousand Metric Ton,Normal,
05/2004, Domestic Cement Sales,1136.6,Thousand Metric Ton,Normal,
05/2004,Export Cement Sales,79.4,Thousand Metric Ton,Normal,
06/2004,Total Cement Sales,1376,Thousand Metric Ton,Normal,
06/2004, Domestic Cement Sales,1243.7,Thousand Metric Ton,Normal,
06/2004,Export Cement Sales,132.3,Thousand Metric Ton,Normal,
07/2004,Total Cement Sales,1377.4,Thousand Metric Ton,Normal,
07/2004, Domestic Cement Sales,1245,Thousand Metric Ton,Normal,
07/2004,Export Cement Sales,132.4,Thousand Metric Ton,Normal,
08/2004,Total Cement Sales,1305.7,Thousand Metric Ton,Normal,
08/2004, Domestic Cement Sales,1148.7,Thousand Metric Ton,Normal,
08/2004,Export Cement Sales,157,Thousand Metric Ton,Normal,
09/2004,Total Cement Sales,1410.4,Thousand Metric Ton,Normal,
09/2004, Domestic Cement Sales,1254.1,Thousand Metric Ton,Normal,
09/2004,Export Cement Sales,156.3,Thousand Metric Ton,Normal,
10/2004,Total Cement Sales,1339.6,Thousand Metric Ton,Normal,
10/2004, Domestic Cement Sales,1197.4,Thousand Metric Ton,Normal,
10/2004,Export Cement Sales,142.2,Thousand Metric Ton,Normal,
11/2004,Total Cement Sales,1103.9,Thousand Metric Ton,Normal,
11/2004, Domestic Cement Sales,1017.9,Thousand Metric Ton,Normal,
11/2004,Export Cement Sales,86,Thousand Metric Ton,Normal,
12/2004,Total Cement Sales,1275.2,Thousand Metric Ton,Normal,
12/2004, Domestic Cement Sales,1171.7,Thousand Metric Ton,Normal,
12/2004,Export Cement Sales,103.5,Thousand Metric Ton,Normal,
01/2005,Total Cement Sales,1223.7,Thousand Metric Ton,Normal,
01/2005, Domestic Cement Sales,1171.7,Thousand Metric Ton,Normal,
01/2005,Export Cement Sales,52.1,Thousand Metric Ton,Normal,
02/2005,Total Cement Sales,1067.3,Thousand Metric Ton,Normal,
02/2005, Domestic Cement Sales,990.2,Thousand Metric Ton,Normal,
02/2005,Export Cement Sales,77.1,Thousand Metric Ton,Normal,
03/2005,Total Cement Sales,1622.5,Thousand Metric Ton,Normal,
03/2005, Domestic Cement Sales,1444.2,Thousand Metric Ton,Normal,
03/2005,Export Cement Sales,178.3,Thousand Metric Ton,Normal,
04/2005,Total Cement Sales,1650.4,Thousand Metric Ton,Normal,
04/2005, Domestic Cement Sales,1463.8,Thousand Metric Ton,Normal,
04/2005,Export Cement Sales,186.6,Thousand Metric Ton,Normal,
05/2005,Total Cement Sales,1472.5,Thousand Metric Ton,Normal,
05/2005, Domestic Cement Sales,1301.2,Thousand Metric Ton,Normal,
05/2005,Export Cement Sales,171.2,Thousand Metric Ton,Normal,
06/2005,Total Cement Sales,1504.7,Thousand Metric Ton,Normal,
06/2005, Domestic Cement Sales,1383,Thousand Metric Ton,Normal,
06/2005,Export Cement Sales,121.7,Thousand Metric Ton,Normal,
07/2005,Total Cement Sales,1428.9,Thousand Metric Ton,Normal,
07/2005, Domestic Cement Sales,1298.9,Thousand Metric Ton,Normal,
07/2005,Export Cement Sales,130,Thousand Metric Ton,Normal,
08/2005,Total Cement Sales,1507.2,Thousand Metric Ton,Normal,
08/2005, Domestic Cement Sales,1350.8,Thousand Metric Ton,Normal,
08/2005,Export Cement Sales,156.4,Thousand Metric Ton,Normal,
09/2005,Total Cement Sales,1538.1,Thousand Metric Ton,Normal,
09/2005, Domestic Cement Sales,1393.9,Thousand Metric Ton,Normal,
09/2005,Export Cement Sales,144.2,Thousand Metric Ton,Normal,
10/2005,Total Cement Sales,1558.6,Thousand Metric Ton,Normal,
10/2005, Domestic Cement Sales,1435.2,Thousand Metric Ton,Normal,
10/2005,Export Cement Sales,123.4,Thousand Metric Ton,Normal,
11/2005,Total Cement Sales,1194.7,Thousand Metric Ton,Normal,
11/2005, Domestic Cement Sales,1097.3,Thousand Metric Ton,Normal,
11/2005,Export Cement Sales,97.4,Thousand Metric Ton,Normal,
12/2005,Total Cement Sales,1528.9,Thousand Metric Ton,Normal,
12/2005, Domestic Cement Sales,1404.9,Thousand Metric Ton,Normal,
12/2005,Export Cement Sales,124,Thousand Metric Ton,Normal,
01/2006,Total Cement Sales,1188.7,Thousand Metric Ton,Normal,
01/2006, Domestic Cement Sales,1141.4,Thousand Metric Ton,Normal,
01/2006,Export Cement Sales,47.3,Thousand Metric Ton,Normal,
02/2006,Total Cement Sales,1581.4,Thousand Metric Ton,Normal,
02/2006, Domestic Cement Sales,1427.2,Thousand Metric Ton,Normal,
02/2006,Export Cement Sales,154.2,Thousand Metric Ton,Normal,
03/2006,Total Cement Sales,1823.5,Thousand Metric Ton,Normal,
03/2006, Domestic Cement Sales,1643.2,Thousand Metric Ton,Normal,
03/2006,Export Cement Sales,180.3,Thousand Metric Ton,Normal,
04/2006,Total Cement Sales,1496.4,Thousand Metric Ton,Normal,
04/2006, Domestic Cement Sales,1445.1,Thousand Metric Ton,Normal,
04/2006,Export Cement Sales,51.4,Thousand Metric Ton,Normal,
05/2006,Total Cement Sales,1698.5,Thousand Metric Ton,Normal,
05/2006, Domestic Cement Sales,1546.5,Thousand Metric Ton,Normal,
05/2006,Export Cement Sales,152,Thousand Metric Ton,Normal,
06/2006,Total Cement Sales,1867.2,Thousand Metric Ton,Normal,
06/2006, Domestic Cement Sales,1722.7,Thousand Metric Ton,Normal,
06/2006,Export Cement Sales,144.5,Thousand Metric Ton,Normal,
07/2006,Total Cement Sales,1690.8,Thousand Metric Ton,Normal,
07/2006, Domestic Cement Sales,1502.6,Thousand Metric Ton,Normal,
07/2006,Export Cement Sales,188.2,Thousand Metric Ton,Normal,
08/2006,Total Cement Sales,1798.1,Thousand Metric Ton,Normal,
08/2006, Domestic Cement Sales,1562,Thousand Metric Ton,Normal,
08/2006,Export Cement Sales,236.1,Thousand Metric Ton,Normal,
09/2006,Total Cement Sales,1929.6,Thousand Metric Ton,Normal,
09/2006, Domestic Cement Sales,1691.9,Thousand Metric Ton,Normal,
09/2006,Export Cement Sales,237.7,Thousand Metric Ton,Normal,
10/2006,Total Cement Sales,1636.1,Thousand Metric Ton,Normal,
10/2006, Domestic Cement Sales,1514.3,Thousand Metric Ton,Normal,
10/2006,Export Cement Sales,121.9,Thousand Metric Ton,Normal,
11/2006,Total Cement Sales,2044.7,Thousand Metric Ton,Normal,
11/2006, Domestic Cement Sales,1837.3,Thousand Metric Ton,Normal,
11/2006,Export Cement Sales,207.4,Thousand Metric Ton,Normal,
12/2006,Total Cement Sales,2082.6,Thousand Metric Ton,Normal,
12/2006, Domestic Cement Sales,1871.1,Thousand Metric Ton,Normal,
12/2006,Export Cement Sales,211.5,Thousand Metric Ton,Normal,
01/2007,Total Cement Sales,2098.6,Thousand Metric Ton,Normal,
01/2007, Domestic Cement Sales,1853.5,Thousand Metric Ton,Normal,
01/2007,Export Cement Sales,245.1,Thousand Metric Ton,Normal,
02/2007,Total Cement Sales,1963.6,Thousand Metric Ton,Normal,
02/2007, Domestic Cement Sales,1637,Thousand Metric Ton,Normal,
02/2007,Export Cement Sales,326.6,Thousand Metric Ton,Normal,
03/2007,Total Cement Sales,2282.3,Thousand Metric Ton,Normal,
03/2007, Domestic Cement Sales,1910.7,Thousand Metric Ton,Normal,
03/2007,Export Cement Sales,371.6,Thousand Metric Ton,Normal,
04/2007,Total Cement Sales,2187.7,Thousand Metric Ton,Normal,
04/2007, Domestic Cement Sales,1880.1,Thousand Metric Ton,Normal,
04/2007,Export Cement Sales,307.5,Thousand Metric Ton,Normal,
05/2007,Total Cement Sales,2283.2,Thousand Metric Ton,Normal,
05/2007, Domestic Cement Sales,1940.6,Thousand Metric Ton,Normal,
05/2007,Export Cement Sales,342.6,Thousand Metric Ton,Normal,
06/2007,Total Cement Sales,2225.6,Thousand Metric Ton,Normal,
06/2007, Domestic Cement Sales,1833.3,Thousand Metric Ton,Normal,
06/2007,Export Cement Sales,392.4,Thousand Metric Ton,Normal,
07/2007,Total Cement Sales,2388.2,Thousand Metric Ton,Normal,
07/2007, Domestic Cement Sales,1947.1,Thousand Metric Ton,Normal,
07/2007,Export Cement Sales,441.1,Thousand Metric Ton,Normal,
08/2007,Total Cement Sales,2539.8,Thousand Metric Ton,Normal,
08/2007, Domestic Cement Sales,1963.1,Thousand Metric Ton,Normal,
08/2007,Export Cement Sales,576.7,Thousand Metric Ton,Normal,
09/2007,Total Cement Sales,2353.7,Thousand Metric Ton,Normal,
09/2007, Domestic Cement Sales,1805.1,Thousand Metric Ton,Normal,
09/2007,Export Cement Sales,548.6,Thousand Metric Ton,Normal,
10/2007,Total Cement Sales,2201.6,Thousand Metric Ton,Normal,
10/2007, Domestic Cement Sales,1741.1,Thousand Metric Ton,Normal,
10/2007,Export Cement Sales,460.5,Thousand Metric Ton,Normal,
11/2007,Total Cement Sales,2556.4,Thousand Metric Ton,Normal,
11/2007, Domestic Cement Sales,1989.7,Thousand Metric Ton,Normal,
11/2007,Export Cement Sales,566.7,Thousand Metric Ton,Normal,
12/2007,Total Cement Sales,1896.5,Thousand Metric Ton,Normal,
12/2007, Domestic Cement Sales,1493.7,Thousand Metric Ton,Normal,
12/2007,Export Cement Sales,402.9,Thousand Metric Ton,Normal,
01/2008,Total Cement Sales,2274.1,Thousand Metric Ton,Normal,
01/2008, Domestic Cement Sales,1650.7,Thousand Metric Ton,Normal,
01/2008,Export Cement Sales,623.3,Thousand Metric Ton,Normal,
02/2008,Total Cement Sales,2491.7,Thousand Metric Ton,Normal,
02/2008, Domestic Cement Sales,1846.5,Thousand Metric Ton,Normal,
02/2008,Export Cement Sales,645.2,Thousand Metric Ton,Normal,
03/2008,Total Cement Sales,3187.8,Thousand Metric Ton,Normal,
03/2008, Domestic Cement Sales,2295.5,Thousand Metric Ton,Normal,
03/2008,Export Cement Sales,892.3,Thousand Metric Ton,Normal,
04/2008,Total Cement Sales,2779.9,Thousand Metric Ton,Normal,
04/2008, Domestic Cement Sales,1989.3,Thousand Metric Ton,Normal,
04/2008,Export Cement Sales,790.5,Thousand Metric Ton,Normal,
05/2008,Total Cement Sales,2775.7,Thousand Metric Ton,Normal,
05/2008, Domestic Cement Sales,1922.4,Thousand Metric Ton,Normal,
05/2008,Export Cement Sales,853.3,Thousand Metric Ton,Normal,
06/2008,Total Cement Sales,2849.2,Thousand Metric Ton,Normal,
06/2008, Domestic Cement Sales,1932.6,Thousand Metric Ton,Normal,
06/2008,Export Cement Sales,916.6,Thousand Metric Ton,Normal,
07/2008,Total Cement Sales,2610.2,Thousand Metric Ton,Normal,
07/2008, Domestic Cement Sales,1794.9,Thousand Metric Ton,Normal,
07/2008,Export Cement Sales,815.3,Thousand Metric Ton,Normal,
08/2008,Total Cement Sales,2337.3,Thousand Metric Ton,Normal,
08/2008, Domestic Cement Sales,1550.1,Thousand Metric Ton,Normal,
08/2008,Export Cement Sales,787.2,Thousand Metric Ton,Normal,
09/2008,Total Cement Sales,2438.6,Thousand Metric Ton,Normal,
09/2008, Domestic Cement Sales,1540.6,Thousand Metric Ton,Normal,
09/2008,Export Cement Sales,898,Thousand Metric Ton,Normal,
10/2008,Total Cement Sales,2523.5,Thousand Metric Ton,Normal,
10/2008, Domestic Cement Sales,1521.3,Thousand Metric Ton,Normal,
10/2008,Export Cement Sales,1002.2,Thousand Metric Ton,Normal,
11/2008,Total Cement Sales,2622.9,Thousand Metric Ton,Normal,
11/2008, Domestic Cement Sales,1683.4,Thousand Metric Ton,Normal,
11/2008,Export Cement Sales,939.5,Thousand Metric Ton,Normal,
12/2008,Total Cement Sales,1981.5,Thousand Metric Ton,Normal,
12/2008, Domestic Cement Sales,1366.4,Thousand Metric Ton,Normal,
12/2008,Export Cement Sales,615.1,Thousand Metric Ton,Normal,
01/2009,Total Cement Sales,2465.5,Thousand Metric Ton,Normal,
01/2009, Domestic Cement Sales,1685.7,Thousand Metric Ton,Normal,
01/2009,Export Cement Sales,779.8,Thousand Metric Ton,Normal,
02/2009,Total Cement Sales,2574.7,Thousand Metric Ton,Normal,
02/2009, Domestic Cement Sales,1728.3,Thousand Metric Ton,Normal,
02/2009,Export Cement Sales,846.4,Thousand Metric Ton,Normal,
03/2009,Total Cement Sales,2990.8,Thousand Metric Ton,Normal,
03/2009, Domestic Cement Sales,2021.7,Thousand Metric Ton,Normal,
03/2009,Export Cement Sales,969,Thousand Metric Ton,Normal,
04/2009,Total Cement Sales,2722.5,Thousand Metric Ton,Normal,
04/2009, Domestic Cement Sales,1840.8,Thousand Metric Ton,Normal,
04/2009,Export Cement Sales,881.7,Thousand Metric Ton,Normal,
05/2009,Total Cement Sales,2873.8,Thousand Metric Ton,Normal,
05/2009, Domestic Cement Sales,1813.3,Thousand Metric Ton,Normal,
05/2009,Export Cement Sales,1060.5,Thousand Metric Ton,Normal,
06/2009,Total Cement Sales,3144.6,Thousand Metric Ton,Normal,
06/2009, Domestic Cement Sales,1986.9,Thousand Metric Ton,Normal,
06/2009,Export Cement Sales,1157.7,Thousand Metric Ton,Normal,
07/2009,Total Cement Sales,2884.7,Thousand Metric Ton,Normal,
07/2009, Domestic Cement Sales,1755.7,Thousand Metric Ton,Normal,
07/2009,Export Cement Sales,1129,Thousand Metric Ton,Normal,
08/2009,Total Cement Sales,2946.3,Thousand Metric Ton,Normal,
08/2009, Domestic Cement Sales,1998.8,Thousand Metric Ton,Normal,
08/2009,Export Cement Sales,947.5,Thousand Metric Ton,Normal,
09/2009,Total Cement Sales,2562.8,Thousand Metric Ton,Normal,
09/2009, Domestic Cement Sales,1741.4,Thousand Metric Ton,Normal,
09/2009,Export Cement Sales,821.4,Thousand Metric Ton,Normal,
10/2009,Total Cement Sales,3052.6,Thousand Metric Ton,Normal,
10/2009, Domestic Cement Sales,1919.1,Thousand Metric Ton,Normal,
10/2009,Export Cement Sales,1133.5,Thousand Metric Ton,Normal,
11/2009,Total Cement Sales,2478.2,Thousand Metric Ton,Normal,
11/2009, Domestic Cement Sales,1711.4,Thousand Metric Ton,Normal,
11/2009,Export Cement Sales,766.8,Thousand Metric Ton,Normal,
12/2009,Total Cement Sales,2674.1,Thousand Metric Ton,Normal,
12/2009, Domestic Cement Sales,1883.6,Thousand Metric Ton,Normal,
12/2009,Export Cement Sales,790.5,Thousand Metric Ton,Normal,
01/2010,Total Cement Sales,2945.2,Thousand Metric Ton,Normal,
01/2010, Domestic Cement Sales,2274.2,Thousand Metric Ton,Normal,
01/2010,Export Cement Sales,671,Thousand Metric Ton,Normal,
02/2010,Total Cement Sales,2443,Thousand Metric Ton,Normal,
02/2010, Domestic Cement Sales,1777.6,Thousand Metric Ton,Normal,
02/2010,Export Cement Sales,665.5,Thousand Metric Ton,Normal,
03/2010,Total Cement Sales,3239.6,Thousand Metric Ton,Normal,
03/2010, Domestic Cement Sales,2309.9,Thousand Metric Ton,Normal,
03/2010,Export Cement Sales,929.7,Thousand Metric Ton,Normal,
04/2010,Total Cement Sales,2930.8,Thousand Metric Ton,Normal,
04/2010, Domestic Cement Sales,1992.1,Thousand Metric Ton,Normal,
04/2010,Export Cement Sales,938.7,Thousand Metric Ton,Normal,
05/2010,Total Cement Sales,3041.3,Thousand Metric Ton,Normal,
05/2010, Domestic Cement Sales,2083.8,Thousand Metric Ton,Normal,
05/2010,Export Cement Sales,957.5,Thousand Metric Ton,Normal,
06/2010,Total Cement Sales,2996.3,Thousand Metric Ton,Normal,
06/2010, Domestic Cement Sales,2090.2,Thousand Metric Ton,Normal,
06/2010,Export Cement Sales,906.1,Thousand Metric Ton,Normal,
07/2010,Total Cement Sales,2524.4,Thousand Metric Ton,Normal,
07/2010, Domestic Cement Sales,1749.8,Thousand Metric Ton,Normal,
07/2010,Export Cement Sales,774.5,Thousand Metric Ton,Normal,
08/2010,Total Cement Sales,2382.7,Thousand Metric Ton,Normal,
08/2010, Domestic Cement Sales,1489.2,Thousand Metric Ton,Normal,
08/2010,Export Cement Sales,893.4,Thousand Metric Ton,Normal,
09/2010,Total Cement Sales,2001.5,Thousand Metric Ton,Normal,
09/2010, Domestic Cement Sales,1378.5,Thousand Metric Ton,Normal,
09/2010,Export Cement Sales,623,Thousand Metric Ton,Normal,
10/2010,Total Cement Sales,2919.5,Thousand Metric Ton,Normal,
10/2010, Domestic Cement Sales,1974.4,Thousand Metric Ton,Normal,
10/2010,Export Cement Sales,945.2,Thousand Metric Ton,Normal,
11/2010,Total Cement Sales,2415.9,Thousand Metric Ton,Normal,
11/2010, Domestic Cement Sales,1731.3,Thousand Metric Ton,Normal,
11/2010,Export Cement Sales,684.6,Thousand Metric Ton,Normal,
12/2010,Total Cement Sales,2493.3,Thousand Metric Ton,Normal,
12/2010, Domestic Cement Sales,1785,Thousand Metric Ton,Normal,
12/2010,Export Cement Sales,708.3,Thousand Metric Ton,Normal,
01/2011,Total Cement Sales,2473.2,Thousand Metric Ton,Normal,
01/2011, Domestic Cement Sales,1907.4,Thousand Metric Ton,Normal,
01/2011,Export Cement Sales,565.9,Thousand Metric Ton,Normal,
02/2011,Total Cement Sales,2487.5,Thousand Metric Ton,Normal,
02/2011, Domestic Cement Sales,1778,Thousand Metric Ton,Normal,
02/2011,Export Cement Sales,709.5,Thousand Metric Ton,Normal,
03/2011,Total Cement Sales,3042.8,Thousand Metric Ton,Normal,
03/2011, Domestic Cement Sales,2223.1,Thousand Metric Ton,Normal,
03/2011,Export Cement Sales,819.7,Thousand Metric Ton,Normal,
04/2011,Total Cement Sales,2979.5,Thousand Metric Ton,Normal,
04/2011, Domestic Cement Sales,2047.4,Thousand Metric Ton,Normal,
04/2011,Export Cement Sales,932,Thousand Metric Ton,Normal,
05/2011,Total Cement Sales,2755.2,Thousand Metric Ton,Normal,
05/2011, Domestic Cement Sales,1879.3,Thousand Metric Ton,Normal,
05/2011,Export Cement Sales,876,Thousand Metric Ton,Normal,
06/2011,Total Cement Sales,2881.3,Thousand Metric Ton,Normal,
06/2011, Domestic Cement Sales,2031.2,Thousand Metric Ton,Normal,
06/2011,Export Cement Sales,850.1,Thousand Metric Ton,Normal,
07/2011,Total Cement Sales,2856.2,Thousand Metric Ton,Normal,
07/2011, Domestic Cement Sales,2024.4,Thousand Metric Ton,Normal,
07/2011,Export Cement Sales,831.8,Thousand Metric Ton,Normal,
08/2011,Total Cement Sales,2353.2,Thousand Metric Ton,Normal,
08/2011, Domestic Cement Sales,1639.1,Thousand Metric Ton,Normal,
08/2011,Export Cement Sales,714.1,Thousand Metric Ton,Normal,
09/2011,Total Cement Sales,2287.1,Thousand Metric Ton,Normal,
09/2011, Domestic Cement Sales,1497.3,Thousand Metric Ton,Normal,
09/2011,Export Cement Sales,789.7,Thousand Metric Ton,Normal,
10/2011,Total Cement Sales,2939.2,Thousand Metric Ton,Normal,
10/2011, Domestic Cement Sales,2082.4,Thousand Metric Ton,Normal,
10/2011,Export Cement Sales,856.8,Thousand Metric Ton,Normal,
11/2011,Total Cement Sales,2255.5,Thousand Metric Ton,Normal,
11/2011, Domestic Cement Sales,1638.6,Thousand Metric Ton,Normal,
11/2011,Export Cement Sales,616.9,Thousand Metric Ton,Normal,
12/2011,Total Cement Sales,2665.6,Thousand Metric Ton,Normal,
12/2011, Domestic Cement Sales,2016.7,Thousand Metric Ton,Normal,
12/2011,Export Cement Sales,648.9,Thousand Metric Ton,Normal,
01/2012,Total Cement Sales,2532.1,Thousand Metric Ton,Normal,
01/2012, Domestic Cement Sales,1938.9,Thousand Metric Ton,Normal,
01/2012,Export Cement Sales,593.2,Thousand Metric Ton,Normal,
02/2012,Total Cement Sales,2500.7,Thousand Metric Ton,Normal,
02/2012, Domestic Cement Sales,1934,Thousand Metric Ton,Normal,
02/2012,Export Cement Sales,566.7,Thousand Metric Ton,Normal,
03/2012,Total Cement Sales,3178.9,Thousand Metric Ton,Normal,
03/2012, Domestic Cement Sales,2553.6,Thousand Metric Ton,Normal,
03/2012,Export Cement Sales,625.4,Thousand Metric Ton,Normal,
04/2012,Total Cement Sales,3008.2,Thousand Metric Ton,Normal,
04/2012, Domestic Cement Sales,2236.3,Thousand Metric Ton,Normal,
04/2012,Export Cement Sales,771.9,Thousand Metric Ton,Normal,
05/2012,Total Cement Sales,2917.8,Thousand Metric Ton,Normal,
05/2012, Domestic Cement Sales,2096.4,Thousand Metric Ton,Normal,
05/2012,Export Cement Sales,821.4,Thousand Metric Ton,Normal,
06/2012,Total Cement Sales,3020.5,Thousand Metric Ton,Normal,
06/2012, Domestic Cement Sales,2289.4,Thousand Metric Ton,Normal,
06/2012,Export Cement Sales,731.2,Thousand Metric Ton,Normal,
07/2012,Total Cement Sales,2815.9,Thousand Metric Ton,Normal,
07/2012, Domestic Cement Sales,2060.9,Thousand Metric Ton,Normal,
07/2012,Export Cement Sales,755,Thousand Metric Ton,Normal,
08/2012,Total Cement Sales,2283.3,Thousand Metric Ton,Normal,
08/2012, Domestic Cement Sales,1583.3,Thousand Metric Ton,Normal,
08/2012,Export Cement Sales,700.1,Thousand Metric Ton,Normal,
09/2012,Total Cement Sales,2611.3,Thousand Metric Ton,Normal,
09/2012, Domestic Cement Sales,1793.3,Thousand Metric Ton,Normal,
09/2012,Export Cement Sales,818,Thousand Metric Ton,Normal,
10/2012,Total Cement Sales,2766.7,Thousand Metric Ton,Normal,
10/2012, Domestic Cement Sales,2086.3,Thousand Metric Ton,Normal,
10/2012,Export Cement Sales,680.3,Thousand Metric Ton,Normal,
11/2012,Total Cement Sales,2649.5,Thousand Metric Ton,Normal,
11/2012, Domestic Cement Sales,1960.3,Thousand Metric Ton,Normal,
11/2012,Export Cement Sales,689.2,Thousand Metric Ton,Normal,
12/2012,Total Cement Sales,2822.8,Thousand Metric Ton,Normal,
12/2012, Domestic Cement Sales,2242.4,Thousand Metric Ton,Normal,
12/2012,Export Cement Sales,580.4,Thousand Metric Ton,Normal,
01/2013,Total Cement Sales,2658.1,Thousand Metric Ton,Normal,
01/2013, Domestic Cement Sales,2134.7,Thousand Metric Ton,Normal,
01/2013,Export Cement Sales,523.4,Thousand Metric Ton,Normal,
02/2013,Total Cement Sales,2610.4,Thousand Metric Ton,Normal,
02/2013, Domestic Cement Sales,1956.4,Thousand Metric Ton,Normal,
02/2013,Export Cement Sales,653.9,Thousand Metric Ton,Normal,
03/2013,Total Cement Sales,3326.5,Thousand Metric Ton,Normal,
03/2013, Domestic Cement Sales,2557.9,Thousand Metric Ton,Normal,
03/2013,Export Cement Sales,768.6,Thousand Metric Ton,Normal,
04/2013,Total Cement Sales,3122.6,Thousand Metric Ton,Normal,
04/2013, Domestic Cement Sales,2368.2,Thousand Metric Ton,Normal,
04/2013,Export Cement Sales,754.3,Thousand Metric Ton,Normal,
05/2013,Total Cement Sales,2887.8,Thousand Metric Ton,Normal,
05/2013, Domestic Cement Sales,2102.4,Thousand Metric Ton,Normal,
05/2013,Export Cement Sales,785.4,Thousand Metric Ton,Normal,
06/2013,Total Cement Sales,2880.9,Thousand Metric Ton,Normal,
06/2013, Domestic Cement Sales,2215.3,Thousand Metric Ton,Normal,
06/2013,Export Cement Sales,665.5,Thousand Metric Ton,Normal,
07/2013,Total Cement Sales,2601.1,Thousand Metric Ton,Normal,
07/2013, Domestic Cement Sales,1851.8,Thousand Metric Ton,Normal,
07/2013,Export Cement Sales,749.3,Thousand Metric Ton,Normal,
08/2013,Total Cement Sales,2254.5,Thousand Metric Ton,Normal,
08/2013, Domestic Cement Sales,1577.5,Thousand Metric Ton,Normal,
08/2013,Export Cement Sales,677,Thousand Metric Ton,Normal,
09/2013,Total Cement Sales,2943,Thousand Metric Ton,Normal,
09/2013, Domestic Cement Sales,2126.5,Thousand Metric Ton,Normal,
09/2013,Export Cement Sales,816.5,Thousand Metric Ton,Normal,
10/2013,Total Cement Sales,2649.7,Thousand Metric Ton,Normal,
10/2013, Domestic Cement Sales,1973.7,Thousand Metric Ton,Normal,
10/2013,Export Cement Sales,676.1,Thousand Metric Ton,Normal,
11/2013,Total Cement Sales,2725.7,Thousand Metric Ton,Normal,
11/2013, Domestic Cement Sales,2125,Thousand Metric Ton,Normal,
