"","V1"
"1",NA
"2",NA
"3",NA
"4",0.134570700142857
"5",0.291978626952381
"6",0.367447408380952
"7",0.449833074571429
"8",0.476764569142857
"9",0.486643045571429
"10",0.434582360142857
"11",0.28697874752381
"12",0.11324940952381
"13",0.0205803364285715
"14",-0.0500612303333333
"15",-0.122466914238095
"16",-0.157807470571429
"17",-0.17343057547619
"18",-0.213364495428571
"19",-0.239320213333333
"20",-0.26517133047619
"21",-0.290581368809524
"22",-0.293010799047619
"23",-0.303057977428571
"24",-0.311153109095238
"25",-0.301092360047619
"26",-0.269396954095238
"27",-0.2570623
"28",-0.214053584095238
"29",-0.173533316428571
"30",-0.123791760047619
"31",-0.0297644020952381
"32",0.0544902014285715
"33",0.130668570809524
"34",0.270116077
"35",0.391363039095238
"36",0.448241463095238
"37",0.49804018947619
"38",0.466636496666667
"39",0.411196053095238
"40",0.325713241809524
"41",0.219920336428572
"42",0.102805575904762
"43",0.0236353440476191
"44",-0.0489739338095238
"45",-0.0964463357619047
"46",-0.102608454047619
"47",-0.0977047223333333
"48",-0.090089822047619
"49",-0.0679352745714285
"50",-0.018236301047619
"51",0.0213093500476191
"52",0.12723520752381
"53",0.227344153619048
"54",0.320080132809524
"55",0.325148307238095
"56",0.349356611857143
"57",0.303113805047619
"58",0.273029082095238
"59",0.203684796190476
"60",0.130750352619048
"61",0.10873254252381
"62",0.161279964142857
"63",0.210315755809524
"64",0.337663961476191
"65",0.420948375714286
"66",0.463227266380952
"67",0.474092771285714
"68",0.416321891285714
"69",0.400462155
"70",0.365455282476191
"71",0.283420321333333
"72",0.226629902476191
"73",0.19897787952381
"74",0.190115630619048
"75",0.200960187142857
"76",0.167009723380952
"77",0.129335267
"78",0.107858609095238
"79",0.0798343918571429
"80",0.0461571738571429
"81",0.0157445774285715
"82",-0.0362743971904761
"83",-0.086503618047619
"84",-0.146090410047619
"85",-0.189886580285714
"86",-0.229981527952381
"87",-0.259217695142857
"88",-0.275530606666667
"89",-0.239673867857143
"90",-0.235666088523809
"91",-0.231527044380952
"92",-0.247697300428571
"93",-0.25703826147619
"94",-0.284575742333333
"95",-0.319943336523809
"96",-0.384753111523809
"97",-0.405292715238095
"98",-0.415935775761905
"99",-0.417605029857143
"100",-0.375829857523809
"101",-0.293946809095238
"102",-0.239930917857143
"103",-0.190098434619048
"104",-0.135088556619048
"105",-0.0817934595714285
"106",-0.00233766309523805
"107",0.100690608904762
"108",0.219581604285714
"109",0.454600499238095
"110",0.640069736523809
"111",0.769073551428571
"112",0.897467124761905
"113",0.937551265761905
"114",0.919049577095238
"115",0.867812077619048
"116",0.864476650857143
"117",0.863046739428571
"118",0.811169853761905
"119",0.63954428752381
"120",0.487387207285714
"121",0.332868380666667
"122",0.168905551761905
"123",-0.119365441904762
"124",-0.339870262380952
"125",-0.509007995380952
"126",-0.576130626285714
"127",-0.544899338190476
"128",-0.544892957904762
"129",-0.515698461380952
"130",-0.498833109857143
"131",-0.493957655809524
"132",-0.447522447095238
"133",-0.400185371142857
"134",-0.417422532095238
"135",-0.406169258952381
"136",-0.349650386380952
"137",-0.25904471247619
"138",-0.0692331352857143
"139",0.0807956732857143
"140",0.338049350380952
"141",0.896836007666667
"142",1.38352783633333
"143",1.59386507233333
"144",1.5819912407619
"145",1.42097605528571
"146",1.30117425090476
"147",1.08917642157143
"148",0.59589022947619
"149",0.14593564247619
"150",-0.104289935952381
"151",-0.150699376904762
"152",-0.110274616619048
"153",-0.061904798047619
"154",-0.0527226013333333
"155",-0.0518166005714286
"156",-0.0434924938571429
"157",-0.0351363943809524
"158",-0.0271763648095238
"159",-0.0870786633809524
"160",-0.132900736809524
"161",-0.137047561761905
"162",-0.170068376333333
"163",-0.20018861847619
"164",-0.218531306619048
"165",-0.207494991333333
"166",-0.179269970142857
"167",-0.154654938761905
"168",-0.0882835466666667
"169",0.0283252560952381
"170",0.194458318952381
"171",0.258614281333333
"172",0.25530096
"173",0.224627061285714
"174",0.187208640238095
"175",0.110555941285714
"176",0.00791233971428569
"177",-0.135679501666667
"178",-0.196580943190476
"179",-0.213458325095238
"180",-0.183216742476191
"181",-0.135615315142857
"182",-0.111993791952381
"183",-0.0915556783333334
"184",-0.0888580372857143
"185",-0.0891437517619048
"186",-0.0312626606666667
"187",0.0394546517142857
"188",-0.00589361623809528
"189",-0.067314797
"190",-0.176542365857143
"191",-0.224357356238095
"192",-0.268404617285714
"193",-0.370744467428571
"194",-0.485153482095238
"195",-0.475696069619048
"196",-0.417979121428571
"197",-0.314566376142857
"198",-0.264332326333333
"199",-0.167672959476191
"200",-0.103239685047619
"201",-0.0350851779047619
"202",NA
"203",NA
"204",NA
