company, (Intercept)," lag(logS, 1)"," lag(logS, 2)"," lag(logS, 3)"," lag(logS, 4)"," lag(logS, 5)"," lag(CDS, 1)"," lag(CDS, 2)"," lag(CDS, 3)"," lag(CDS, 4)"," lag(CDS, 5)", SPY, L, Q, VIX, VIX_var, MC, U, D,std.error_(Intercept),"std.error_lag(logS, 1)","std.error_lag(logS, 2)","std.error_lag(logS, 3)","std.error_lag(logS, 4)","std.error_lag(logS, 5)","std.error_lag(CDS, 1)","std.error_lag(CDS, 2)","std.error_lag(CDS, 3)","std.error_lag(CDS, 4)","std.error_lag(CDS, 5)",std.error_SPY,std.error_L,std.error_Q,std.error_VIX,std.error_VIX_var,std.error_MC,std.error_U,std.error_D,statistic_(Intercept),"statistic_lag(logS, 1)","statistic_lag(logS, 2)","statistic_lag(logS, 3)","statistic_lag(logS, 4)","statistic_lag(logS, 5)","statistic_lag(CDS, 1)","statistic_lag(CDS, 2)","statistic_lag(CDS, 3)","statistic_lag(CDS, 4)","statistic_lag(CDS, 5)",statistic_SPY,statistic_L,statistic_Q,statistic_VIX,statistic_VIX_var,statistic_MC,statistic_U,statistic_D,p.value_(Intercept),"p.value_lag(logS, 1)","p.value_lag(logS, 2)","p.value_lag(logS, 3)","p.value_lag(logS, 4)","p.value_lag(logS, 5)","p.value_lag(CDS, 1)","p.value_lag(CDS, 2)","p.value_lag(CDS, 3)","p.value_lag(CDS, 4)","p.value_lag(CDS, 5)",p.value_SPY,p.value_L,p.value_Q,p.value_VIX,p.value_VIX_var,p.value_MC,p.value_U,p.value_D
WY,0.459,0.877,0.001,0.019,-0.074,0.047,0.002,0.001,0.012,-0.03,0.011,-0.011,-0.004,0.015,-0.001,-0.062,0,0.004,0.01,0.039,0.022,0.029,0.029,0.029,0.021,0.004,0.006,0.006,0.006,0.004,0.004,0.003,0.001,0,0.005,0,0.008,0.013,11.752,39.649,0.031,0.644,-2.554,2.246,0.531,0.183,2.193,-5.261,2.764,-2.592,-1.53,13.008,-12.201,-12.714,13.722,0.484,0.76,0,0,0.975,0.52,0.011,0.025,0.595,0.855,0.028,0,0.006,0.01,0.126,0,0,0,0,0.628,0.448
WHR,0.508,0.671,0.068,-0.058,-0.049,0.03,-0.003,0.015,-0.009,-0.019,0.018,0.117,-0.002,-0.019,0,-0.052,0,NA,NA,0.027,0.021,0.026,0.026,0.026,0.019,0.003,0.004,0.004,0.004,0.003,0.004,0.001,0.007,0,0.005,0,NA,NA,19.125,31.214,2.601,-2.202,-1.859,1.56,-1.158,4.097,-2.408,-5.104,6.806,26.51,-2.758,-2.649,-4.836,-10.546,29.647,NA,NA,0,0,0.009,0.028,0.063,0.119,0.247,0,0.016,0,0,0,0.006,0.008,0,0,0,NA,NA
WMB,0.414,0.922,-0.027,0.058,-0.087,0.074,0.005,-0.007,-0.002,-0.005,0.009,-0.033,0,0,-0.001,-0.085,0,-0.008,0.02,0.047,0.023,0.03,0.03,0.03,0.022,0.002,0.003,0.003,0.003,0.002,0.004,0,0,0,0.007,0,0.012,0.016,8.817,40.741,-0.899,1.912,-2.865,3.322,2.422,-2.486,-0.618,-1.754,4.625,-7.377,-1.926,0.795,-6.98,-12.096,10.474,-0.67,1.259,0,0,0.369,0.056,0.004,0.001,0.016,0.013,0.537,0.08,0,0,0.054,0.427,0,0,0,0.503,0.208
TAP,0.326,0.974,-0.032,-0.051,-0.06,0.092,0,0.002,0.001,-0.003,-0.004,-0.009,0.001,-0.001,0,-0.055,0,0.02,0.023,0.037,0.022,0.03,0.03,0.03,0.021,0.006,0.008,0.008,0.008,0.006,0.003,0.003,0,0,0.005,0,0.013,0.011,8.849,45.181,-1.051,-1.699,-1.973,4.403,0.007,0.27,0.152,-0.375,-0.72,-3.481,0.176,-2.961,-4.955,-11.86,10.98,1.596,2.073,0,0,0.293,0.089,0.049,0,0.995,0.788,0.879,0.708,0.472,0.001,0.86,0.003,0,0,0,0.111,0.038
TSN,0.338,0.785,0.055,-0.076,0.018,0.027,0.004,-0.001,-0.008,0.006,0.001,0.027,0.02,-0.002,0,-0.039,0,-0.012,-0.032,0.025,0.023,0.029,0.029,0.029,0.021,0.004,0.006,0.006,0.006,0.004,0.003,0.003,0.003,0,0.005,0,0.012,0.018,13.737,34.561,1.922,-2.639,0.633,1.274,0.97,-0.187,-1.304,1.034,0.125,10.876,6.138,-0.504,-0.968,-8.594,21.273,-0.964,-1.798,0,0,0.055,0.008,0.527,0.203,0.332,0.852,0.192,0.301,0.901,0,0,0.615,0.333,0,0,0.335,0.072
DHI,0.088,0.865,0.034,-0.024,-0.02,0.007,-0.001,0.004,-0.003,-0.012,0.009,0.04,0.011,-0.007,0,-0.081,0,0.024,-0.006,0.058,0.024,0.03,0.03,0.031,0.023,0.003,0.004,0.004,0.004,0.003,0.009,0.01,0.003,0,0.006,0,0.015,0.022,1.52,36.301,1.102,-0.794,-0.649,0.322,-0.398,1.033,-0.877,-3.251,3.395,4.324,1.059,-2.659,0.826,-14.198,14.214,1.578,-0.256,0.129,0,0.271,0.427,0.516,0.748,0.691,0.302,0.38,0.001,0.001,0,0.29,0.008,0.409,0,0,0.115,0.798
PKG,0.744,0.755,0.013,-0.02,-0.014,0.058,-0.005,-0.006,-0.004,0.002,0.007,-0.002,0.009,-0.006,0,-0.057,0,NA,NA,0.041,0.022,0.027,0.027,0.027,0.02,0.003,0.005,0.005,0.005,0.003,0.004,0.002,0.001,0,0.004,0,NA,NA,17.962,34.414,0.481,-0.732,-0.518,2.876,-1.379,-1.247,-0.816,0.374,2.151,-0.488,5.403,-5.35,-4.037,-13.515,20.995,NA,NA,0,0,0.631,0.464,0.605,0.004,0.168,0.213,0.414,0.709,0.032,0.626,0,0,0,0,0,NA,NA
STZ,0.681,0.832,-0.046,-0.02,-0.024,0.073,0,0.001,-0.002,0.001,-0.001,0.009,-0.007,-0.017,0,-0.042,0,0.011,-0.028,0.037,0.022,0.028,0.028,0.028,0.02,0.001,0.001,0.001,0.001,0.001,0.003,0.003,0.003,0,0.004,0,0.016,0.016,18.195,38.586,-1.628,-0.701,-0.875,3.723,-0.581,1.13,-1.813,1.367,-1.858,3.205,-2.424,-5.979,-0.807,-10.212,20.18,0.674,-1.725,0,0,0.104,0.484,0.381,0,0.561,0.259,0.07,0.172,0.063,0.001,0.015,0,0.42,0,0,0.5,0.085
BWA,0.61,0.625,0,-0.02,0.031,0.015,-0.004,0.002,-0.01,0.004,0.011,0.027,0.075,0.002,-0.001,-0.06,0,0.005,-0.054,0.03,0.02,0.024,0.024,0.024,0.017,0.003,0.004,0.004,0.004,0.003,0.002,0.003,0.002,0,0.005,0,0.018,0.018,20.616,30.909,-0.005,-0.82,1.296,0.877,-1.372,0.408,-2.319,0.813,3.52,13.491,21.488,0.747,-16.296,-12.237,32.352,0.288,-2.946,0,0,0.996,0.413,0.195,0.381,0.17,0.683,0.021,0.416,0,0,0,0.455,0,0,0,0.773,0.003
EMN,0.575,0.674,0.02,0.023,-0.045,0.017,0.005,-0.001,0.001,-0.013,0.012,0.07,0,0,-0.001,-0.056,0,NA,0.089,0.024,0.021,0.025,0.025,0.025,0.019,0.002,0.003,0.003,0.003,0.002,0.003,0.001,0.002,0,0.004,0,NA,0.016,24.392,31.589,0.782,0.903,-1.791,0.898,2.191,-0.217,0.294,-4.74,5.696,20.918,-0.133,0.096,-14.507,-13.305,29.778,NA,5.49,0,0,0.434,0.367,0.073,0.369,0.029,0.828,0.769,0,0,0,0.894,0.923,0,0,0,NA,0
