company, (Intercept)," lag(logS, 1)"," lag(logS, 2)"," lag(logS, 3)"," lag(logS, 4)"," lag(logS, 5)"," lag(CDS, 1)"," lag(CDS, 2)"," lag(CDS, 3)"," lag(CDS, 4)"," lag(CDS, 5)", SPY, L, Q, VIX, VIX_var, MC, U, D,std.error_(Intercept),"std.error_lag(logS, 1)","std.error_lag(logS, 2)","std.error_lag(logS, 3)","std.error_lag(logS, 4)","std.error_lag(logS, 5)","std.error_lag(CDS, 1)","std.error_lag(CDS, 2)","std.error_lag(CDS, 3)","std.error_lag(CDS, 4)","std.error_lag(CDS, 5)",std.error_SPY,std.error_L,std.error_Q,std.error_VIX,std.error_VIX_var,std.error_MC,std.error_U,std.error_D,statistic_(Intercept),"statistic_lag(logS, 1)","statistic_lag(logS, 2)","statistic_lag(logS, 3)","statistic_lag(logS, 4)","statistic_lag(logS, 5)","statistic_lag(CDS, 1)","statistic_lag(CDS, 2)","statistic_lag(CDS, 3)","statistic_lag(CDS, 4)","statistic_lag(CDS, 5)",statistic_SPY,statistic_L,statistic_Q,statistic_VIX,statistic_VIX_var,statistic_MC,statistic_U,statistic_D,p.value_(Intercept),"p.value_lag(logS, 1)","p.value_lag(logS, 2)","p.value_lag(logS, 3)","p.value_lag(logS, 4)","p.value_lag(logS, 5)","p.value_lag(CDS, 1)","p.value_lag(CDS, 2)","p.value_lag(CDS, 3)","p.value_lag(CDS, 4)","p.value_lag(CDS, 5)",p.value_SPY,p.value_L,p.value_Q,p.value_VIX,p.value_VIX_var,p.value_MC,p.value_U,p.value_D
RSG,-0.028,0.94,0.055,0.016,-0.114,0.082,-0.009,-0.005,0.014,0.007,-0.005,0.012,0.008,-0.017,0,-0.05,0,NA,NA,0.045,0.021,0.028,0.028,0.028,0.02,0.007,0.009,0.009,0.009,0.007,0.004,0.009,0.004,0,0.003,0,NA,NA,-0.611,45.374,1.971,0.585,-4.066,4.001,-1.324,-0.616,1.669,0.798,-0.641,3.057,0.825,-4.443,-4.923,-17.503,4.745,NA,NA,0.541,0,0.049,0.558,0,0,0.186,0.538,0.095,0.425,0.522,0.002,0.409,0,0,0,0,NA,NA
SRE,1.351,0.717,0.044,-0.06,-0.021,0.061,0.001,0.015,-0.025,-0.009,0.013,-0.045,0.009,-0.014,-0.001,-0.025,0,NA,NA,0.056,0.022,0.027,0.027,0.027,0.02,0.004,0.006,0.006,0.006,0.004,0.003,0.001,0.003,0,0.004,0,NA,NA,23.925,32.677,1.621,-2.224,-0.784,3.131,0.303,2.356,-4.022,-1.391,2.844,-14.158,7.575,-4.812,-13.716,-6.829,24.113,NA,NA,0,0,0.105,0.026,0.433,0.002,0.762,0.019,0,0.164,0.005,0,0,0,0,0,0,NA,NA
DVN,0.668,0.87,0.012,0.052,-0.075,0.038,-0.001,0.001,0.004,-0.01,0.005,-0.047,0.007,-0.011,-0.002,-0.085,0,0.005,0.002,0.059,0.024,0.032,0.032,0.032,0.024,0.002,0.002,0.002,0.002,0.002,0.005,0.001,0.003,0,0.009,0,0.032,0.019,11.389,35.799,0.39,1.66,-2.366,1.62,-0.404,0.349,1.775,-4.267,3.169,-9.025,4.517,-3.85,-12.904,-9.792,14.028,0.151,0.113,0,0,0.697,0.097,0.018,0.105,0.686,0.727,0.076,0,0.002,0,0,0,0,0,0,0.88,0.91
NRG,-0.17,0.871,0.033,-0.016,-0.063,0.057,0.001,-0.002,0,-0.005,0.005,0.053,0,-0.003,0,-0.065,0,0.017,-0.101,0.022,0.024,0.031,0.031,0.031,0.023,0.001,0.002,0.002,0.002,0.001,0.004,0,0.002,0,0.006,0,0.011,0.018,-7.827,35.917,1.062,-0.505,-2.02,2.43,0.962,-1.289,0.276,-3.306,4.485,12.811,-0.767,-1.217,4.325,-10.189,14.9,1.505,-5.735,0,0,0.288,0.614,0.043,0.015,0.336,0.197,0.783,0.001,0,0,0.443,0.224,0,0,0,0.132,0
MGM,-0.199,0.889,-0.112,0.028,-0.007,0.034,0.006,-0.007,0.003,-0.002,0.003,0.077,0.011,-0.014,-0.002,-0.064,0,0.12,0.021,0.028,0.024,0.031,0.031,0.031,0.023,0.001,0.002,0.002,0.002,0.001,0.005,0.001,0.001,0,0.007,0,0.019,0.016,-7.012,37.727,-3.641,0.931,-0.214,1.5,4.768,-4.206,1.581,-1.47,2.176,14.549,11.052,-10.91,-12.887,-8.656,18.552,6.249,1.284,0,0,0,0.352,0.83,0.134,0,0,0.114,0.142,0.03,0,0,0,0,0,0,0,0.199
DAL,-0.046,0.682,-0.059,-0.014,0.004,0.039,-0.001,-0.003,0.001,-0.003,0.004,0.123,0,-0.015,0,-0.056,0,0.076,0.044,0.021,0.022,0.026,0.026,0.026,0.02,0.001,0.001,0.001,0.001,0.001,0.004,0,0.003,0,0.006,0,0.013,0.013,-2.235,30.575,-2.234,-0.517,0.168,2.004,-0.548,-1.982,0.919,-2.167,4.433,27.68,-4.267,-4.231,0.838,-9.545,29.565,6.007,3.423,0.025,0,0.026,0.605,0.867,0.045,0.584,0.048,0.358,0.03,0,0,0,0,0.402,0,0,0,0.001
EMR,0.492,0.574,0.015,0.032,-0.061,0.016,-0.003,-0.001,0.009,-0.017,0,0.118,-0.002,-0.01,0,-0.051,0,NA,NA,0.022,0.019,0.022,0.022,0.022,0.016,0.008,0.01,0.01,0.01,0.008,0.004,0.001,0.001,0,0.004,0,NA,NA,22.356,29.901,0.679,1.463,-2.755,1.025,-0.406,-0.074,0.835,-1.604,-0.059,31.217,-1.4,-8.577,-9.344,-13.916,34.919,NA,NA,0,0,0.497,0.144,0.006,0.306,0.685,0.941,0.404,0.109,0.953,0,0.162,0,0,0,0,NA,NA
ITW,0.449,0.894,0.059,-0.011,-0.075,0.078,0.011,0.016,-0.024,0.027,-0.014,-0.022,-0.003,0.004,0,-0.068,0,NA,NA,0.065,0.02,0.027,0.027,0.027,0.02,0.014,0.02,0.02,0.02,0.014,0.007,0.001,0.001,0,0.004,0,NA,NA,6.943,43.637,2.189,-0.395,-2.775,3.928,0.783,0.816,-1.206,1.342,-0.999,-3.165,-2.382,3.833,-7.073,-18.549,8.462,NA,NA,0,0,0.029,0.693,0.006,0,0.434,0.415,0.228,0.18,0.318,0.002,0.017,0,0,0,0,NA,NA
SO,1.864,0.643,-0.068,0.031,-0.073,0.065,0.008,0.002,-0.011,-0.005,0.004,-0.068,-0.017,-0.002,-0.001,-0.016,0,0.003,0.006,0.059,0.021,0.025,0.025,0.026,0.018,0.004,0.005,0.005,0.005,0.004,0.003,0.002,0.002,0,0.003,0,0.011,0.007,31.823,30.664,-2.664,1.229,-2.856,3.633,2.157,0.363,-2.363,-1.08,1.099,-21.913,-10.536,-1.245,-15.092,-5.497,34.045,0.3,0.857,0,0,0.008,0.219,0.004,0,0.031,0.716,0.018,0.28,0.272,0,0,0.213,0,0,0,0.764,0.392
GE,0.028,0.983,-0.003,-0.042,0.025,-0.014,0.001,0.008,-0.006,-0.008,0.007,0.021,0,-0.002,-0.001,-0.067,0,0.026,0.063,0.048,0.025,0.034,0.034,0.034,0.025,0.002,0.002,0.002,0.002,0.002,0.005,0.001,0.002,0,0.006,0,0.011,0.011,0.585,39.595,-0.093,-1.236,0.733,-0.553,0.483,3.127,-2.583,-3.189,3.999,4.584,-0.003,-0.848,-7.731,-10.988,8.883,2.379,5.723,0.559,0,0.926,0.217,0.464,0.58,0.629,0.002,0.01,0.001,0,0,0.998,0.397,0,0,0,0.017,0
DVA,-0.788,0.797,0.077,-0.073,-0.006,0.019,-0.001,0,0,0,0,0.176,0.001,0.02,0.001,-0.069,0,NA,NA,0.055,0.024,0.031,0.031,0.031,0.023,0.001,0.001,0.001,0.001,0.001,0.011,0.001,0.002,0,0.006,0,NA,NA,-14.418,33.247,2.502,-2.369,-0.194,0.825,-0.835,-0.074,0.174,0.056,0.124,16.47,1.934,8.054,8.853,-11.93,16.264,NA,NA,0,0,0.012,0.018,0.846,0.41,0.404,0.941,0.862,0.956,0.901,0,0.053,0,0,0,0,NA,NA
DD,0.226,0.952,-0.038,0.018,0.009,0.02,0.014,-0.008,-0.008,0.002,0.002,0.003,-0.019,-0.026,-0.001,-0.052,0,-0.01,NA,0.099,0.041,0.055,0.056,0.056,0.04,0.009,0.013,0.013,0.013,0.009,0.014,0.008,0.014,0,0.006,0,0.014,NA,2.284,23.407,-0.692,0.315,0.159,0.489,1.516,-0.627,-0.65,0.172,0.184,0.204,-2.393,-1.84,-4.642,-8.17,3.229,-0.701,NA,0.023,0,0.489,0.753,0.874,0.625,0.13,0.531,0.516,0.864,0.854,0.838,0.017,0.066,0,0,0.001,0.483,NA
MOS,0.36,0.81,-0.048,0.081,-0.022,0.03,NA,NA,NA,NA,NA,0.005,-0.016,0.011,-0.002,-0.076,0,NA,-0.055,0.074,0.026,0.033,0.033,0.033,0.024,NA,NA,NA,NA,NA,0.007,0.011,0.005,0,0.009,0,NA,0.029,4.877,31.281,-1.428,2.45,-0.672,1.269,NA,NA,NA,NA,NA,0.806,-1.468,2.048,-12.103,-8.722,15.825,NA,-1.897,0,0,0.153,0.014,0.502,0.205,NA,NA,NA,NA,NA,0.42,0.142,0.041,0,0,0,NA,0.058
DXC,1.841,0.643,0.087,-0.051,-0.191,0.029,0.01,-0.005,-0.001,-0.008,0.014,0.03,-0.001,-0.087,0,-0.041,0,NA,NA,0.435,0.065,0.076,0.077,0.077,0.057,0.006,0.008,0.008,0.009,0.006,0.049,0.021,0.016,0,0.008,0,NA,NA,4.233,9.876,1.139,-0.669,-2.475,0.509,1.495,-0.626,-0.122,-0.997,2.158,0.622,-0.026,-5.444,0.131,-5.417,8.68,NA,NA,0,0,0.256,0.505,0.014,0.611,0.137,0.532,0.903,0.32,0.032,0.535,0.979,0,0.896,0,0,NA,NA
IR,1.659,0.155,-0.034,0.023,-0.023,0.036,NA,NA,NA,NA,NA,0.037,-0.002,0.041,-0.001,0,0,NA,NA,0.122,0.027,0.028,0.028,0.027,0.018,NA,NA,NA,NA,NA,0.015,0,0.005,0,0.004,0,NA,NA,13.62,5.749,-1.221,0.816,-0.856,1.964,NA,NA,NA,NA,NA,2.481,-11.614,8.726,-6.436,0.05,47.919,NA,NA,0,0,0.223,0.415,0.392,0.05,NA,NA,NA,NA,NA,0.013,0,0,0,0.96,0,NA,NA
EOG,0.341,0.671,0.029,-0.042,0.003,0.019,0.011,0.022,-0.012,-0.038,0.024,0.098,0.009,-0.039,-0.002,-0.031,0,NA,NA,0.285,0.035,0.042,0.042,0.041,0.03,0.041,0.041,0.041,0.041,0.029,0.023,0.065,0.006,0,0.013,0,NA,NA,1.196,19.426,0.694,-1.013,0.064,0.635,0.282,0.55,-0.297,-0.934,0.828,4.245,0.138,-6.354,-7.734,-2.461,17.628,NA,NA,0.232,0,0.488,0.312,0.949,0.526,0.778,0.582,0.767,0.351,0.408,0,0.891,0,0,0.014,0,NA,NA
FMC,2.789,0.232,0.002,-0.009,0.017,0.008,NA,NA,NA,NA,NA,0,-0.003,-0.056,0,-0.026,0,NA,NA,0.089,0.025,0.025,0.026,0.025,0.018,NA,NA,NA,NA,NA,0.006,0.002,0.006,0,0.006,0,NA,NA,31.234,9.128,0.096,-0.334,0.69,0.428,NA,NA,NA,NA,NA,0.064,-1.675,-9.095,1.636,-4.539,41.687,NA,NA,0,0,0.923,0.739,0.491,0.669,NA,NA,NA,NA,NA,0.949,0.094,0,0.102,0,0,NA,NA
ED,2.46,0.368,0.01,-0.059,0.032,0.006,NA,NA,NA,NA,NA,-0.024,-0.005,-0.001,-0.001,-0.007,0,NA,NA,0.166,0.038,0.042,0.042,0.042,0.029,NA,NA,NA,NA,NA,0.011,0.015,0.006,0,0.006,0,NA,NA,14.795,9.598,0.248,-1.399,0.769,0.189,NA,NA,NA,NA,NA,-2.094,-0.33,-0.123,-3.929,-1.125,26.93,NA,NA,0,0,0.804,0.162,0.442,0.85,NA,NA,NA,NA,NA,0.037,0.742,0.902,0,0.261,0,NA,NA
CMS,3.127,0.006,0.007,-0.008,-0.006,-0.006,NA,NA,NA,NA,NA,-0.006,0.002,0.007,0,-0.005,0,NA,NA,0.124,0.012,0.012,0.011,0.011,0.009,NA,NA,NA,NA,NA,0.013,0.001,0.006,0,0.003,0,NA,NA,25.289,0.479,0.579,-0.701,-0.572,-0.73,NA,NA,NA,NA,NA,-0.461,2.171,1.177,2.029,-1.558,108.138,NA,NA,0,0.633,0.564,0.485,0.568,0.467,NA,NA,NA,NA,NA,0.646,0.032,0.242,0.045,0.122,0,NA,NA
CNP,2.354,0.001,0.002,-0.001,-0.009,-0.006,NA,NA,NA,NA,NA,0.007,0,-0.004,0,0.003,0,NA,NA,0.086,0.009,0.008,0.008,0.008,0.006,NA,NA,NA,NA,NA,0.008,0.009,0.001,0,0.002,0,NA,NA,27.443,0.102,0.209,-0.133,-1.047,-1.078,NA,NA,NA,NA,NA,0.862,0.037,-3.336,-2.097,1.739,153.188,NA,NA,0,0.919,0.835,0.895,0.298,0.284,NA,NA,NA,NA,NA,0.391,0.97,0.001,0.038,0.085,0,NA,NA
