company,estimate_(Intercept),"estimate_lag(logS, 1)","estimate_lag(logS, 2)","estimate_lag(CDS, 1)","estimate_lag(CDS, 2)",estimate_SPY,estimate_L,estimate_Q,estimate_VIX,estimate_VIX_var,estimate_MC,estimate_U,estimate_D,std.error_(Intercept),"std.error_lag(logS, 1)","std.error_lag(logS, 2)","std.error_lag(CDS, 1)","std.error_lag(CDS, 2)",std.error_SPY,std.error_L,std.error_Q,std.error_VIX,std.error_VIX_var,std.error_MC,std.error_U,std.error_D,statistic_(Intercept),"statistic_lag(logS, 1)","statistic_lag(logS, 2)","statistic_lag(CDS, 1)","statistic_lag(CDS, 2)",statistic_SPY,statistic_L,statistic_Q,statistic_VIX,statistic_VIX_var,statistic_MC,statistic_U,statistic_D,p.value_(Intercept),"p.value_lag(logS, 1)","p.value_lag(logS, 2)","p.value_lag(CDS, 1)","p.value_lag(CDS, 2)",p.value_SPY,p.value_L,p.value_Q,p.value_VIX,p.value_VIX_var,p.value_MC,p.value_U,p.value_D
T,0.971,-1.135,1.102,0.805,0.143,-0.077,-0.168,-0.016,0.011,0.229,0,NA,0.063,0.599,0.337,0.331,0.023,0.023,0.037,0.033,0.025,0.001,0.055,0,NA,0.15,1.622,-3.365,3.328,34.953,6.338,-2.092,-5.027,-0.665,11.23,4.166,0.967,NA,0.422,0.105,0.001,0.001,0,0,0.037,0,0.506,0,0,0.334,NA,0.673
WMT,-1.616,0.31,-0.071,0.908,0.067,0.068,0.071,0.029,0.001,0.155,-0,NA,NA,0.228,0.114,0.101,0.023,0.023,0.02,0.011,0.039,0,0.016,0,NA,NA,-7.092,2.726,-0.701,40.148,2.995,3.401,6.235,0.736,3.643,9.79,-5.807,NA,NA,0,0.006,0.484,0,0.003,0.001,0,0.462,0,0,0,NA,NA
CI,-0.035,0.017,-0.004,0.819,0.174,-0.009,0.006,-0.001,0,0.05,-0,NA,NA,0.088,0.045,0.045,0.022,0.022,0.012,0.005,0.01,0,0.01,0,NA,NA,-0.397,0.375,-0.081,37.057,7.887,-0.704,1.217,-0.052,0.991,4.904,-1.749,NA,NA,0.691,0.708,0.936,0,0,0.482,0.224,0.958,0.322,0,0.08,NA,NA
MO,-2.301,0.624,0.264,0.939,0.045,-0.059,0,0.071,0.002,0.188,-0,0.028,0.639,0.26,0.169,0.14,0.023,0.023,0.016,0,0.019,0,0.025,0,0.069,0.099,-8.845,3.69,1.89,41.479,1.989,-3.618,2.562,3.772,4.097,7.392,-8.907,0.412,6.477,0,0,0.059,0,0.047,0,0.01,0,0,0,0,0.681,0
HCA,-27.062,3.603,1.782,0.926,0.021,1.348,NA,0.356,-0.001,2.457,-0,NA,NA,10.191,1.48,1.213,0.058,0.058,1.442,NA,0.749,0.013,0.266,0,NA,NA,-2.655,2.435,1.469,15.911,0.369,0.935,NA,0.476,-0.092,9.241,-5.823,NA,NA,0.008,0.016,0.143,0,0.712,0.351,NA,0.635,0.926,0,0,NA,NA
IP,-1.353,0.464,0.571,1.031,-0.052,-0.207,-0.003,-0.05,0.001,0.21,-0,NA,NA,0.151,0.165,0.142,0.023,0.023,0.02,0.002,0.014,0,0.03,0,NA,NA,-8.948,2.808,4.011,45.454,-2.286,-10.145,-1.118,-3.568,2.93,7.082,-11.259,NA,NA,0,0.005,0,0,0.022,0,0.264,0,0.003,0,0,NA,NA
RCL,-22.212,0.966,2.645,0.914,0.05,1.334,-0.017,-0.095,0.042,0.598,-0,0.822,-1.598,1.769,0.712,0.647,0.027,0.027,0.139,0.026,0.074,0.004,0.212,0,0.454,0.393,-12.56,1.358,4.089,33.822,1.852,9.601,-0.638,-1.288,11.966,2.826,-15.434,1.813,-4.069,0,0.175,0,0,0.064,0,0.523,0.198,0,0.005,0,0.07,0
HES,-3.084,-0.326,1.361,1.02,-0.034,-0.1,0.064,0.081,0.015,0.699,-0,NA,0.488,0.768,0.422,0.397,0.025,0.025,0.074,0.035,0.025,0.002,0.121,0,NA,0.46,-4.014,-0.774,3.429,40.638,-1.352,-1.355,1.849,3.251,8.147,5.8,-7.026,NA,1.061,0,0.439,0.001,0,0.177,0.176,0.065,0.001,0,0,0,NA,0.289
BSX,-0.413,-0.201,0.246,0.937,0.051,0.039,-0,0.015,-0,0.234,-0,-0.009,NA,0.147,0.103,0.099,0.023,0.023,0.02,0,0.011,0,0.02,0,0.054,NA,-2.814,-1.942,2.495,40.736,2.219,1.899,-0.397,1.388,-0.156,11.959,-2.493,-0.159,NA,0.005,0.052,0.013,0,0.027,0.058,0.691,0.165,0.876,0,0.013,0.873,NA
BMY,-0.775,0.062,0.031,0.925,0.054,0.049,0.002,-0.004,0.001,0.17,-0,0.025,1.151,0.163,0.092,0.09,0.021,0.021,0.012,0.001,0.003,0,0.017,0,0.063,0.063,-4.745,0.67,0.349,43.709,2.55,4.087,1.108,-1.681,2.478,10.197,-3.763,0.395,18.239,0,0.503,0.727,0,0.011,0,0.268,0.093,0.013,0,0,0.693,0
