company,estimate_(Intercept),"estimate_lag(logS, 1)","estimate_lag(logS, 2)","estimate_lag(CDS, 1)","estimate_lag(CDS, 2)",estimate_SPY,estimate_L,estimate_Q,estimate_VIX,estimate_VIX_var,estimate_MC,estimate_U,estimate_D,std.error_(Intercept),"std.error_lag(logS, 1)","std.error_lag(logS, 2)","std.error_lag(CDS, 1)","std.error_lag(CDS, 2)",std.error_SPY,std.error_L,std.error_Q,std.error_VIX,std.error_VIX_var,std.error_MC,std.error_U,std.error_D,statistic_(Intercept),"statistic_lag(logS, 1)","statistic_lag(logS, 2)","statistic_lag(CDS, 1)","statistic_lag(CDS, 2)",statistic_SPY,statistic_L,statistic_Q,statistic_VIX,statistic_VIX_var,statistic_MC,statistic_U,statistic_D,p.value_(Intercept),"p.value_lag(logS, 1)","p.value_lag(logS, 2)","p.value_lag(CDS, 1)","p.value_lag(CDS, 2)",p.value_SPY,p.value_L,p.value_Q,p.value_VIX,p.value_VIX_var,p.value_MC,p.value_U,p.value_D
TXT,-0.404,-0.285,0.297,0.821,0.168,0.042,0.002,0.014,0.003,0.046,-0,0.005,0.016,0.112,0.078,0.07,0.022,0.022,0.02,0.004,0.024,0,0.019,0,0.05,0.073,-3.622,-3.637,4.21,36.817,7.57,2.065,0.44,0.587,10.13,2.392,-0.877,0.092,0.224,0,0,0,0,0,0.039,0.66,0.557,0,0.017,0.38,0.926,0.823
TJX,-8.329,2.563,0.782,0.298,0.286,-0.274,-0.033,0.111,-0.004,-0.256,-0,NA,1.16,1.181,0.694,0.618,0.021,0.021,0.139,0.018,0.079,0.002,0.134,0,NA,0.534,-7.053,3.696,1.265,13.922,13.334,-1.971,-1.796,1.396,-2.27,-1.913,-9.005,NA,2.173,0,0,0.206,0,0,0.049,0.073,0.163,0.023,0.056,0,NA,0.03
JCI,-0.004,-0.109,0.123,1.071,-0.078,-0.008,0.003,-0.007,0,0.067,-0,0.006,-0.444,0.06,0.068,0.068,0.022,0.022,0.01,0.007,0.009,0,0.014,0,0.054,0.031,-0.074,-1.594,1.805,49.657,-3.635,-0.808,0.43,-0.759,0.051,4.824,-0.797,0.12,-14.261,0.941,0.111,0.071,0,0,0.419,0.667,0.448,0.959,0,0.425,0.905,0
UNP,-0.55,-0.141,0.243,0.888,0.089,0.01,0.006,0.004,-0,0.181,-0,-0.027,0.023,0.164,0.099,0.094,0.023,0.023,0.021,0.004,0.01,0,0.017,0,0.067,0.067,-3.353,-1.431,2.593,38.498,3.866,0.447,1.556,0.419,-1.523,10.354,-3.318,-0.394,0.344,0.001,0.153,0.01,0,0,0.655,0.12,0.675,0.128,0,0.001,0.694,0.731
UNH,0.504,-0.021,0.009,0.94,0.035,-0.076,0.001,0.027,-0,0.202,0,NA,NA,0.209,0.1,0.099,0.023,0.023,0.03,0.003,0.046,0,0.018,0,NA,NA,2.416,-0.208,0.094,40.244,1.503,-2.55,0.331,0.593,-1,11.033,3.129,NA,NA,0.016,0.835,0.925,0,0.133,0.011,0.74,0.553,0.318,0,0.002,NA,NA
VFC,-0.05,-0.007,0.028,0.657,0.335,-0,-0.007,-0.002,0,0.011,-0,0.022,0.041,0.091,0.063,0.06,0.021,0.021,0.008,0.003,0.004,0,0.016,0,0.061,0.035,-0.553,-0.107,0.476,31.087,15.837,-0.058,-2.266,-0.423,0.011,0.711,-1.132,0.359,1.155,0.58,0.915,0.634,0,0,0.954,0.024,0.673,0.991,0.477,0.258,0.72,0.248
WY,-1.058,-0.231,0.524,1.015,-0.014,0.028,0.011,-0.029,0.002,0.205,-0,-0.041,0.306,0.223,0.127,0.12,0.023,0.023,0.024,0.015,0.007,0,0.028,0,0.048,0.075,-4.756,-1.823,4.364,44.711,-0.625,1.138,0.746,-4.345,3.899,7.354,-5.958,-0.863,4.052,0,0.069,0,0,0.532,0.255,0.456,0,0,0,0,0.388,0
WHR,-1.603,0.33,0.723,0.981,0.002,-0.365,0.007,0.117,0.002,0.278,-0,NA,NA,0.237,0.193,0.171,0.023,0.023,0.039,0.005,0.064,0.001,0.044,0,NA,NA,-6.765,1.715,4.234,42,0.099,-9.272,1.39,1.829,2.304,6.286,-10.831,NA,NA,0,0.087,0,0,0.921,0,0.165,0.067,0.021,0,0,NA,NA
WMB,-1.621,-1.125,1.449,1.07,-0.074,0.088,0,-0,0.008,0.44,-0,0.769,-0.665,0.571,0.274,0.267,0.023,0.023,0.054,0.002,0.001,0.001,0.085,0,0.149,0.192,-2.836,-4.111,5.42,46.94,-3.263,1.617,0.175,-0.119,6.405,5.142,-4.137,5.148,-3.463,0.005,0,0,0,0.001,0.106,0.861,0.905,0,0,0,0,0.001
TAP,-0.247,0.013,0.01,0.827,0.157,0.018,-0.003,0.002,0,-0.01,-0,0.027,-0.13,0.138,0.081,0.078,0.022,0.022,0.01,0.012,0.002,0,0.017,0,0.048,0.04,-1.792,0.158,0.126,36.844,7.004,1.904,-0.269,1.025,1.581,-0.556,-0.486,0.57,-3.237,0.073,0.875,0.9,0,0,0.057,0.788,0.306,0.114,0.578,0.627,0.569,0.001
TSN,-0.408,0.04,0.202,0.979,0.005,-0.038,-0.038,0.023,-0,0.281,-0,-0.009,0.394,0.131,0.121,0.112,0.023,0.023,0.013,0.017,0.017,0,0.024,0,0.066,0.095,-3.107,0.328,1.803,42.82,0.214,-2.804,-2.182,1.352,-0.108,11.611,-5.272,-0.14,4.153,0.002,0.743,0.072,0,0.83,0.005,0.029,0.177,0.914,0,0,0.889,0
DHI,0.452,-1.108,1.455,0.955,0.043,-0.221,0.137,0.018,-0,0.484,-0,0.021,0.095,0.528,0.218,0.209,0.024,0.024,0.085,0.095,0.026,0.001,0.052,0,0.142,0.2,0.857,-5.074,6.963,39.311,1.76,-2.606,1.448,0.705,-0.349,9.286,-4.116,0.149,0.472,0.392,0,0,0,0.079,0.009,0.148,0.481,0.727,0,0,0.881,0.637
PKG,-0.497,-0.182,0.307,1.002,-0.007,0.013,-0.03,-0.002,0.001,0.249,-0,NA,NA,0.294,0.155,0.141,0.023,0.023,0.03,0.011,0.008,0,0.03,0,NA,NA,-1.688,-1.17,2.175,43.325,-0.287,0.43,-2.601,-0.284,2.799,8.338,-1.763,NA,NA,0.091,0.242,0.03,0,0.774,0.668,0.009,0.777,0.005,0,0.078,NA,NA
STZ,0.234,-0.625,0.555,0.983,0.01,-0.026,0.073,-0.04,-0.001,0.09,0,-0.031,0.009,1.088,0.628,0.568,0.022,0.022,0.085,0.081,0.083,0.002,0.121,0,0.468,0.467,0.215,-0.995,0.976,43.833,0.447,-0.308,0.902,-0.484,-0.411,0.742,0.153,-0.066,0.02,0.83,0.32,0.329,0,0.655,0.758,0.367,0.629,0.681,0.458,0.878,0.948,0.984
BWA,0.081,-0.43,0.594,1.019,-0.038,-0.053,-0.06,-0.018,0.004,0.156,-0,-0.049,0.018,0.215,0.146,0.126,0.023,0.022,0.014,0.025,0.015,0.001,0.036,0,0.134,0.134,0.376,-2.936,4.719,45.093,-1.713,-3.666,-2.354,-1.255,6.364,4.386,-2.704,-0.364,0.136,0.707,0.003,0,0,0.087,0,0.019,0.21,0,0,0.007,0.716,0.892
EMN,-2.685,-0.402,1.8,0.82,0.141,-0.294,-0.022,-0.026,0.007,0.215,-0,NA,-0.235,0.273,0.246,0.216,0.023,0.023,0.038,0.011,0.026,0.001,0.049,0,NA,0.186,-9.847,-1.638,8.339,35.36,6.087,-7.658,-1.968,-1.021,8.72,4.394,-11.681,NA,-1.265,0,0.102,0,0,0,0,0.049,0.307,0,0,0,NA,0.206
UPS,-1.868,0.05,0.402,0.831,0.143,-0.004,-0,0.02,0.001,0.145,-0,0.157,0.014,0.239,0.123,0.108,0.023,0.023,0.02,0,0.01,0,0.019,0,0.074,0.037,-7.818,0.404,3.723,36.633,6.318,-0.182,-1.428,1.925,3.332,7.473,-7.703,2.108,0.378,0,0.686,0,0,0,0.856,0.153,0.054,0.001,0,0,0.035,0.706
MCK,-0.115,-0.242,0.464,0.961,0.032,-0.108,-0.001,0.097,-0.001,0.242,-0,NA,0.054,0.145,0.143,0.132,0.023,0.023,0.03,0.001,0.069,0,0.027,0,NA,0.104,-0.795,-1.694,3.518,41.422,1.365,-3.64,-0.899,1.412,-1.847,9.019,-4.07,NA,0.522,0.427,0.091,0,0,0.173,0,0.369,0.158,0.065,0,0,NA,0.601
LMT,-0.709,0.052,0.075,0.787,0.197,0.01,-0,0.013,0,0.18,-0,-0.01,0.024,0.182,0.116,0.107,0.022,0.022,0.014,0,0.01,0,0.018,0,0.071,0.051,-3.887,0.446,0.7,35.758,8.912,0.733,-0.395,1.208,0.688,9.805,-3.193,-0.142,0.473,0,0.656,0.484,0,0,0.464,0.693,0.227,0.492,0,0.001,0.887,0.636
DRI,-0.573,-1.666,1.441,0.885,0.06,0.145,0.09,-0.153,0.007,0.386,0,0.103,0.886,0.666,0.272,0.259,0.025,0.024,0.07,0.016,0.047,0.001,0.067,0,0.128,0.186,-0.86,-6.115,5.56,35.858,2.513,2.05,5.708,-3.234,5.877,5.778,0.073,0.803,4.766,0.39,0,0,0,0.012,0.04,0,0.001,0,0,0.942,0.422,0
DGX,-0.512,-0.431,0.535,0.919,0.076,0.012,0.044,0.031,-0.001,0.254,-0,NA,NA,0.145,0.127,0.12,0.023,0.023,0.025,0.038,0.011,0,0.021,0,NA,NA,-3.527,-3.394,4.454,40.579,3.341,0.467,1.152,2.784,-1.954,11.878,-3.863,NA,NA,0,0.001,0,0,0.001,0.641,0.25,0.005,0.051,0,0,NA,NA
PXD,1.625,-0.338,0.225,1.103,-0.121,-0.155,0.016,0.002,0.005,0.173,0,NA,NA,0.893,0.206,0.188,0.022,0.022,0.057,0.027,0.011,0.001,0.063,0,NA,NA,1.82,-1.636,1.198,49.039,-5.428,-2.705,0.597,0.154,3.837,2.743,0.783,NA,NA,0.069,0.102,0.231,0,0,0.007,0.551,0.878,0,0.006,0.434,NA,NA
VLO,-0.438,-0.632,1.211,0.887,0.088,-0.216,0.049,0.077,0.006,0.525,-0,NA,NA,0.272,0.266,0.241,0.023,0.023,0.043,0.015,0.05,0.001,0.077,0,NA,NA,-1.608,-2.376,5.026,38.407,3.822,-4.967,3.222,1.548,5.263,6.853,-5.325,NA,NA,0.108,0.018,0,0,0,0,0.001,0.122,0,0,0,NA,NA
YUM,0.504,-1.13,1.165,0.939,0.048,-0.099,NA,0.003,0.006,0.476,0,-0.024,3.836,0.37,0.424,0.42,0.023,0.023,0.086,NA,0.031,0.001,0.077,0,0.206,0.291,1.362,-2.665,2.775,41.469,2.107,-1.146,NA,0.106,5.552,6.162,0.264,-0.118,13.167,0.173,0.008,0.006,0,0.035,0.252,NA,0.916,0,0,0.792,0.906,0
FE,-3.234,0.124,0.563,1.007,-0.022,0.184,-0.017,-0.115,0.002,0.23,-0,0.478,0.139,0.4,0.184,0.166,0.023,0.023,0.028,0.004,0.046,0,0.031,0,0.07,0.071,-8.095,0.672,3.388,43.84,-0.974,6.54,-4.401,-2.53,3.725,7.407,-9.054,6.879,1.97,0,0.501,0.001,0,0.33,0,0,0.011,0,0,0,0,0.049
SEE,0.226,-1.993,2.492,0.905,0.079,-0.232,0,0.012,0.006,0.376,-0,0.218,0.023,0.204,0.344,0.322,0.023,0.023,0.062,0,0.037,0.001,0.074,0,0.196,0.278,1.107,-5.788,7.751,39.161,3.441,-3.739,1.541,0.332,5.63,5.112,-3.32,1.111,0.082,0.269,0,0,0,0.001,0,0.124,0.74,0,0,0.001,0.267,0.934
RSG,0.185,0.054,-0.078,0.737,0.255,0.003,-0.052,-0.01,0.001,0.002,0,-0.001,NA,0.144,0.066,0.066,0.022,0.022,0.013,0.029,0.012,0,0.009,0,0.035,NA,1.285,0.819,-1.183,34.002,11.779,0.217,-1.781,-0.85,4.663,0.207,1.008,-0.033,NA,0.199,0.413,0.237,0,0,0.828,0.075,0.396,0,0.836,0.314,0.974,NA
SRE,-1.014,-0.072,0.231,1.03,-0.032,0.048,-0.001,0.038,0,0.175,-0,NA,NA,0.287,0.112,0.1,0.022,0.022,0.016,0.006,0.015,0,0.018,0,NA,NA,-3.529,-0.647,2.301,45.865,-1.435,2.929,-0.204,2.624,1.708,9.483,-3.222,NA,NA,0,0.518,0.022,0,0.151,0.003,0.838,0.009,0.088,0,0.001,NA,NA
DVN,-4.801,-0.655,1.424,1.043,-0.049,0.335,-0.084,0.068,0.019,0.747,-0,0.166,0.442,0.87,0.362,0.348,0.025,0.025,0.077,0.022,0.044,0.002,0.129,0,0.488,0.282,-5.52,-1.808,4.086,42.564,-1.981,4.362,-3.824,1.557,8.114,5.775,-7.542,0.341,1.564,0,0.071,0,0,0.048,0,0,0.12,0,0,0,0.733,0.118
NRG,1.238,-2.104,2.706,0.917,0.081,-0.306,-0.001,0.009,-0.001,1.034,-0,-0.318,2.82,0.436,0.488,0.466,0.024,0.024,0.084,0,0.042,0.002,0.129,0,0.224,0.356,2.837,-4.312,5.805,37.893,3.334,-3.661,-1.899,0.211,-0.639,8.028,-4.571,-1.42,7.915,0.005,0,0,0,0.001,0,0.058,0.833,0.523,0,0,0.156,0
MGM,1.884,-2.631,4.012,0.802,0.153,-0.772,-0.061,0.125,0.034,0.636,-0,0.849,0.567,0.532,0.44,0.41,0.024,0.023,0.099,0.019,0.024,0.003,0.14,0,0.362,0.3,3.544,-5.983,9.782,34.052,6.578,-7.773,-3.191,5.23,13.218,4.562,-8.481,2.342,1.89,0,0,0,0,0,0,0.001,0,0,0,0,0.019,0.059
DAL,1.841,-1.499,3.162,0.949,0.033,-0.817,-0,0.025,0.02,0.201,-0,-0.049,-0.472,0.493,0.536,0.467,0.024,0.024,0.107,0,0.083,0.002,0.14,0,0.304,0.305,3.731,-2.797,6.764,39.372,1.383,-7.653,-0.427,0.303,8.251,1.431,-7.197,-0.16,-1.55,0,0.005,0,0,0.167,0,0.67,0.762,0,0.153,0,0.873,0.121
EMR,0.005,-0.001,-0.069,0.811,0.176,0.025,0.003,-0.006,0,-0.001,0,NA,NA,0.061,0.053,0.045,0.022,0.022,0.01,0.003,0.003,0,0.01,0,NA,NA,0.083,-0.011,-1.547,36.61,7.952,2.347,0.802,-1.965,2.639,-0.102,1.973,NA,NA,0.934,0.991,0.122,0,0,0.019,0.423,0.05,0.008,0.919,0.049,NA,NA
ITW,-0.36,0.006,0.009,0.985,-0.008,0.031,-0.004,0.003,0,-0.005,-0,NA,NA,0.1,0.032,0.031,0.022,0.022,0.011,0.002,0.002,0,0.006,0,NA,NA,-3.609,0.187,0.296,43.803,-0.365,2.802,-1.942,1.55,4.221,-0.807,-1.813,NA,NA,0,0.852,0.767,0,0.715,0.005,0.052,0.121,0,0.42,0.07,NA,NA
SO,-1.782,0.342,0.025,0.919,0.078,0.071,0.016,-0.004,0,0.052,-0,-0.005,-0.024,0.371,0.134,0.113,0.023,0.023,0.02,0.01,0.01,0,0.019,0,0.074,0.043,-4.801,2.561,0.222,40.752,3.442,3.624,1.502,-0.352,1.166,2.735,-4.98,-0.074,-0.568,0,0.011,0.824,0,0.001,0,0.133,0.725,0.244,0.006,0,0.941,0.57
GE,3.003,-2.185,2.017,0.963,-0.051,-0.297,0.013,-0.03,0.012,0.31,-0,0.033,-0.187,0.714,0.376,0.368,0.026,0.025,0.069,0.012,0.035,0.002,0.092,0,0.166,0.166,4.205,-5.816,5.481,37.455,-2.006,-4.29,1.085,-0.846,7.954,3.35,-2.335,0.2,-1.125,0,0,0,0,0.045,0,0.278,0.397,0,0.001,0.02,0.842,0.261
DVA,0.472,-1.524,1.638,0.99,0.004,-0.135,0.028,-0.213,0.004,0.437,0,NA,NA,1.557,0.692,0.652,0.025,0.025,0.305,0.022,0.071,0.003,0.166,0,NA,NA,0.303,-2.204,2.512,39.303,0.148,-0.442,1.258,-3,1.257,2.631,0.399,NA,NA,0.762,0.028,0.012,0,0.883,0.658,0.208,0.003,0.209,0.009,0.69,NA,NA
DD,-0.467,-0.142,0.292,0.963,0.024,-0.115,0.143,0.346,0.005,0.117,-0,0.184,NA,0.437,0.18,0.177,0.041,0.04,0.063,0.035,0.058,0.001,0.028,0,0.062,NA,-1.069,-0.786,1.649,23.728,0.592,-1.844,4.112,5.956,5.767,4.114,-1.232,2.961,NA,0.286,0.432,0.1,0,0.554,0.066,0,0,0,0,0.218,0.003,NA
MOS,-0.692,-0,0,NA,NA,0,-0,0,-0,-0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,-11732257771423.998,-0.69,0.376,NA,NA,0.821,-0.646,0.388,-0.803,-0.439,0.716,NA,0.163,0,0.491,0.707,NA,NA,0.412,0.519,0.698,0.422,0.661,0.474,NA,0.871
DXC,-10.071,-0.33,0.633,0.856,0.011,0.872,-0.063,-0.087,0.005,0.121,-0,NA,NA,5.297,0.8,0.707,0.08,0.079,0.606,0.253,0.189,0.003,0.092,0,NA,NA,-1.901,-0.413,0.896,10.754,0.14,1.439,-0.249,-0.457,1.675,1.305,-1.8,NA,NA,0.059,0.68,0.372,0,0.889,0.152,0.804,0.648,0.096,0.194,0.074,NA,NA
IR,1,0,-0,NA,NA,0,-0,-0,0,-0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,15020282923558.223,0.071,-0.092,NA,NA,2.474,-1.259,-0.207,2.398,-0.413,0.028,NA,NA,0,0.943,0.927,NA,NA,0.014,0.209,0.836,0.017,0.68,0.978,NA,NA
EOG,0.225,-0.019,0.022,0.75,0,0.001,0.002,-0,0,-0.004,-0,NA,NA,0.304,0.038,0.032,0.035,0.032,0.025,0.069,0.007,0,0.014,0,NA,NA,0.74,-0.49,0.672,21.297,0.008,0.049,0.035,-0.017,0.056,-0.304,-0.179,NA,NA,0.459,0.624,0.502,0,0.993,0.961,0.972,0.987,0.955,0.761,0.858,NA,NA
FMC,1,0,-0,NA,NA,0,0,0,-0,-0,-0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,19951697832103.066,6.544,-1.889,NA,NA,1.667,0.884,3.845,-1.748,-2.536,-6.695,NA,NA,0,0,0.059,NA,NA,0.096,0.377,0,0.081,0.011,0,NA,NA
ED,1,-0,0,NA,NA,0,0,-0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,12627948086686.902,-0.087,0.344,NA,NA,2.608,1.372,-1.481,1.529,0.355,0.076,NA,NA,0,0.931,0.731,NA,NA,0.009,0.171,0.139,0.127,0.723,0.939,NA,NA
CMS,1,0,-0,NA,NA,-0,0,0,-0,0,-0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,13240521960546.92,2.185,-1.7,NA,NA,-0.677,0.115,2.254,-1.064,0.641,-2.67,NA,NA,0,0.031,0.092,NA,NA,0.5,0.909,0.026,0.29,0.523,0.009,NA,NA
CNP,1,0,-0,NA,NA,0,0,-0,-0,0,-0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,13617119434585.29,3.352,-1.288,NA,NA,0.036,5.661,-0.83,-0.625,0.448,-3.993,NA,NA,0,0.001,0.201,NA,NA,0.971,0,0.408,0.533,0.655,0,NA,NA
