company,estimate_(Intercept),"estimate_lag(logS, 1)","estimate_lag(logS, 2)","estimate_lag(logS, 3)","estimate_lag(logS, 4)","estimate_lag(logS, 5)","estimate_lag(CDS, 1)","estimate_lag(CDS, 2)","estimate_lag(CDS, 3)","estimate_lag(CDS, 4)","estimate_lag(CDS, 5)",estimate_SPY,estimate_L,estimate_Q,estimate_VIX,estimate_VIX_var,estimate_MC,estimate_U,estimate_D,std.error_(Intercept),"std.error_lag(logS, 1)","std.error_lag(logS, 2)","std.error_lag(logS, 3)","std.error_lag(logS, 4)","std.error_lag(logS, 5)","std.error_lag(CDS, 1)","std.error_lag(CDS, 2)","std.error_lag(CDS, 3)","std.error_lag(CDS, 4)","std.error_lag(CDS, 5)",std.error_SPY,std.error_L,std.error_Q,std.error_VIX,std.error_VIX_var,std.error_MC,std.error_U,std.error_D,statistic_(Intercept),"statistic_lag(logS, 1)","statistic_lag(logS, 2)","statistic_lag(logS, 3)","statistic_lag(logS, 4)","statistic_lag(logS, 5)","statistic_lag(CDS, 1)","statistic_lag(CDS, 2)","statistic_lag(CDS, 3)","statistic_lag(CDS, 4)","statistic_lag(CDS, 5)",statistic_SPY,statistic_L,statistic_Q,statistic_VIX,statistic_VIX_var,statistic_MC,statistic_U,statistic_D,p.value_(Intercept),"p.value_lag(logS, 1)","p.value_lag(logS, 2)","p.value_lag(logS, 3)","p.value_lag(logS, 4)","p.value_lag(logS, 5)","p.value_lag(CDS, 1)","p.value_lag(CDS, 2)","p.value_lag(CDS, 3)","p.value_lag(CDS, 4)","p.value_lag(CDS, 5)",p.value_SPY,p.value_L,p.value_Q,p.value_VIX,p.value_VIX_var,p.value_MC,p.value_U,p.value_D
LEN,-1.356,-4.315,2.414,2.321,0.456,-0.355,0.839,0.137,0.029,0.049,-0.075,-0.103,-0.008,-0.011,0.008,0.847,-0,-0.43,0.038,0.949,0.34,0.44,0.443,0.445,0.346,0.024,0.032,0.032,0.032,0.023,0.13,0.049,0.015,0.001,0.085,0,0.231,0.325,-1.429,-12.694,5.491,5.242,1.023,-1.026,34.393,4.289,0.915,1.531,-3.287,-0.794,-0.171,-0.725,6.212,9.925,-4.677,-1.866,0.117,0.153,0,0,0,0.306,0.305,0,0,0.36,0.126,0.001,0.427,0.864,0.469,0,0,0,0.062,0.907
LLY,-0.041,-0.144,0.022,0.258,-0.245,0.101,0.821,0.17,-0.021,0.01,0.007,0.003,-0,0,0,0.038,0,0.035,0.115,0.068,0.048,0.066,0.066,0.066,0.047,0.022,0.029,0.029,0.029,0.022,0.013,0,0.006,0,0.009,0,0.036,0.036,-0.609,-2.986,0.336,3.931,-3.724,2.147,36.657,5.888,-0.713,0.34,0.295,0.247,-0.015,0.018,0.433,4.05,1.162,0.977,3.165,0.543,0.003,0.737,0,0,0.032,0,0,0.476,0.734,0.768,0.805,0.988,0.986,0.665,0,0.245,0.329,0.002
LOW,-0.385,-0.173,0.252,0.271,-0.066,-0.176,0.93,0.052,-0.033,0.022,0.008,-0.013,0.001,-0.049,0.001,0.22,-0,NA,0.354,0.201,0.092,0.123,0.123,0.123,0.088,0.023,0.032,0.032,0.032,0.023,0.028,0,0.018,0,0.019,0,NA,0.073,-1.921,-1.89,2.049,2.204,-0.541,-1.993,40.281,1.626,-1.03,0.677,0.327,-0.465,2.504,-2.705,3.76,11.655,-3.306,NA,4.817,0.055,0.059,0.041,0.028,0.589,0.046,0,0.104,0.303,0.498,0.744,0.642,0.012,0.007,0,0,0.001,NA,0
MMC,-0.058,-0.463,0.591,0.443,-0.201,-0.32,0.925,-0.054,-0.034,0.236,-0.084,-0.026,0.004,0.01,0,0.156,-0,0.018,0.166,0.174,0.123,0.163,0.164,0.164,0.12,0.023,0.031,0.031,0.031,0.023,0.031,0.003,0.009,0,0.017,0,0.067,0.067,-0.335,-3.769,3.625,2.705,-1.229,-2.657,39.884,-1.737,-1.086,7.637,-3.666,-0.857,1.141,1.172,1.537,9.02,-1.12,0.271,2.48,0.738,0,0,0.007,0.219,0.008,0,0.083,0.278,0,0,0.392,0.254,0.241,0.125,0,0.263,0.786,0.013
MAS,-0.753,0.046,0.178,-0.051,0.538,-0.571,0.874,0.152,-0.069,-0.026,0.045,-0.002,0,0.01,-0,0.137,-0,-0.002,NA,0.274,0.199,0.264,0.264,0.264,0.19,0.022,0.03,0.03,0.03,0.022,0.049,0,0.022,0.001,0.043,0,0.169,NA,-2.75,0.232,0.674,-0.194,2.036,-3.001,39.04,5.117,-2.329,-0.876,2.024,-0.039,2.631,0.455,-0.676,3.198,-2.952,-0.011,NA,0.006,0.817,0.501,0.846,0.042,0.003,0,0,0.02,0.381,0.043,0.969,0.009,0.649,0.499,0.001,0.003,0.992,NA
CVS,-0.618,-0.211,0.293,-0.081,0.55,-0.334,0.924,0.007,-0.022,0.113,-0.03,-0.006,-0.032,-0.008,0.001,0.23,-0,-0.189,-0.227,0.182,0.129,0.173,0.173,0.174,0.124,0.023,0.032,0.032,0.032,0.023,0.02,0.011,0.006,0,0.022,0,0.087,0.087,-3.392,-1.636,1.691,-0.469,3.158,-2.69,39.448,0.22,-0.686,3.556,-1.29,-0.303,-2.782,-1.259,2.646,10.319,-5.986,-2.172,-2.597,0.001,0.102,0.091,0.639,0.002,0.007,0,0.826,0.493,0,0.197,0.762,0.005,0.208,0.008,0,0,0.03,0.009
LH,0.076,0.281,-0.318,0.016,-0.192,0.131,0.983,0.019,-0.008,0.034,-0.036,0.034,-0,0.001,0.001,-0.013,0,-0.004,0.524,0.135,0.092,0.114,0.114,0.114,0.083,0.022,0.031,0.031,0.031,0.022,0.026,0.011,0.006,0,0.018,0,0.04,0.068,0.559,3.059,-2.781,0.14,-1.683,1.571,44.397,0.625,-0.248,1.102,-1.662,1.305,-0.008,0.21,3.977,-0.711,0.841,-0.11,7.678,0.576,0.002,0.005,0.889,0.093,0.116,0,0.532,0.804,0.271,0.097,0.192,0.994,0.834,0,0.477,0.401,0.912,0
NKE,-0.573,-0.065,0.033,-0.015,-0.012,0.038,0.979,0.052,-0.082,0.095,-0.052,0.083,0.01,-0.015,0.001,-0.009,-0,NA,NA,0.128,0.063,0.082,0.082,0.082,0.06,0.022,0.031,0.031,0.031,0.022,0.019,0.004,0.006,0,0.013,0,NA,NA,-4.477,-1.033,0.4,-0.185,-0.152,0.637,43.653,1.644,-2.618,3.043,-2.324,4.451,2.517,-2.444,3.466,-0.694,-1.168,NA,NA,0,0.302,0.689,0.853,0.879,0.524,0,0.1,0.009,0.002,0.02,0,0.012,0.015,0.001,0.488,0.243,NA,NA
NSC,-0.276,0.107,-0.274,0.16,0.227,-0.184,0.91,-0.017,0.005,0.206,-0.114,0.018,-0.013,0.008,-0,0.197,-0,NA,NA,0.158,0.096,0.129,0.129,0.129,0.092,0.023,0.031,0.031,0.031,0.023,0.023,0.01,0.01,0,0.019,0,NA,NA,-1.749,1.111,-2.12,1.237,1.756,-1.987,39.171,-0.558,0.172,6.562,-4.927,0.8,-1.25,0.833,-0.097,10.624,-1.705,NA,NA,0.08,0.267,0.034,0.216,0.079,0.047,0,0.577,0.863,0,0,0.424,0.212,0.405,0.923,0,0.088,NA,NA
NUE,-0.203,-0.372,0.426,0.03,-0.186,0.212,0.855,0.275,-0.056,-0.014,-0.064,-0.002,-0.073,-0.006,0.001,0.098,-0,NA,0.445,0.166,0.116,0.139,0.14,0.139,0.102,0.022,0.03,0.03,0.03,0.022,0.024,0.075,0.007,0,0.029,0,NA,0.109,-1.222,-3.202,3.061,0.215,-1.337,2.068,38.051,9.329,-1.842,-0.475,-2.857,-0.066,-0.979,-0.852,2.579,3.417,-2.071,NA,4.082,0.222,0.001,0.002,0.83,0.182,0.039,0,0,0.066,0.635,0.004,0.948,0.328,0.394,0.01,0.001,0.039,NA,0
