company,estimate_(Intercept),"estimate_lag(logS, 1)","estimate_lag(logS, 2)","estimate_lag(logS, 3)","estimate_lag(logS, 4)","estimate_lag(logS, 5)","estimate_lag(CDS, 1)","estimate_lag(CDS, 2)","estimate_lag(CDS, 3)","estimate_lag(CDS, 4)","estimate_lag(CDS, 5)",estimate_SPY,estimate_L,estimate_Q,estimate_VIX,estimate_VIX_var,estimate_MC,estimate_U,estimate_D,std.error_(Intercept),"std.error_lag(logS, 1)","std.error_lag(logS, 2)","std.error_lag(logS, 3)","std.error_lag(logS, 4)","std.error_lag(logS, 5)","std.error_lag(CDS, 1)","std.error_lag(CDS, 2)","std.error_lag(CDS, 3)","std.error_lag(CDS, 4)","std.error_lag(CDS, 5)",std.error_SPY,std.error_L,std.error_Q,std.error_VIX,std.error_VIX_var,std.error_MC,std.error_U,std.error_D,statistic_(Intercept),"statistic_lag(logS, 1)","statistic_lag(logS, 2)","statistic_lag(logS, 3)","statistic_lag(logS, 4)","statistic_lag(logS, 5)","statistic_lag(CDS, 1)","statistic_lag(CDS, 2)","statistic_lag(CDS, 3)","statistic_lag(CDS, 4)","statistic_lag(CDS, 5)",statistic_SPY,statistic_L,statistic_Q,statistic_VIX,statistic_VIX_var,statistic_MC,statistic_U,statistic_D,p.value_(Intercept),"p.value_lag(logS, 1)","p.value_lag(logS, 2)","p.value_lag(logS, 3)","p.value_lag(logS, 4)","p.value_lag(logS, 5)","p.value_lag(CDS, 1)","p.value_lag(CDS, 2)","p.value_lag(CDS, 3)","p.value_lag(CDS, 4)","p.value_lag(CDS, 5)",p.value_SPY,p.value_L,p.value_Q,p.value_VIX,p.value_VIX_var,p.value_MC,p.value_U,p.value_D
JCI,-0.005,-0.119,0.198,-0.054,0.009,-0.017,1.053,0.107,-0.168,0.071,-0.073,-0.01,0.003,-0.007,0,0.071,-0,0.007,-0.433,0.059,0.067,0.092,0.092,0.092,0.067,0.022,0.032,0.032,0.032,0.022,0.01,0.007,0.009,0,0.014,0,0.053,0.031,-0.081,-1.771,2.146,-0.583,0.097,-0.254,48.486,3.379,-5.317,2.24,-3.35,-1.029,0.423,-0.703,0.16,5.216,-1.281,0.137,-14.128,0.935,0.077,0.032,0.56,0.923,0.799,0,0.001,0,0.025,0.001,0.304,0.672,0.482,0.873,0,0.2,0.891,0
UNP,-0.525,-0.137,-0.13,0.655,-0.008,-0.294,0.879,-0.004,0.041,0.174,-0.109,0.015,0.007,0.003,-0,0.183,-0,NA,0.035,0.161,0.097,0.128,0.128,0.129,0.093,0.023,0.031,0.031,0.031,0.023,0.021,0.004,0.009,0,0.017,0,NA,0.066,-3.255,-1.408,-1.02,5.117,-0.06,-3.164,38.185,-0.138,1.323,5.676,-4.78,0.735,1.73,0.36,-1.184,10.667,-2.976,NA,0.523,0.001,0.159,0.308,0,0.953,0.002,0,0.891,0.186,0,0,0.462,0.084,0.719,0.237,0,0.003,NA,0.601
UNH,0.334,0.054,-0.123,0.02,0.376,-0.336,0.941,-0.06,-0.074,0.282,-0.109,-0.052,0.001,0.035,-0,0.205,0,NA,NA,0.206,0.098,0.138,0.138,0.138,0.097,0.023,0.032,0.032,0.032,0.023,0.029,0.003,0.045,0,0.018,0,NA,NA,1.623,0.548,-0.885,0.145,2.716,-3.479,40.565,-1.882,-2.345,8.906,-4.706,-1.769,0.32,0.779,-0.417,11.504,2.236,NA,NA,0.105,0.584,0.376,0.885,0.007,0.001,0,0.06,0.019,0,0,0.077,0.749,0.436,0.676,0,0.025,NA,NA
VFC,-0.016,-0.016,-0.04,0.083,0.03,-0.036,0.6,0.223,0.083,0.071,0.017,-0.004,-0.006,-0.001,0,0.011,-0,0.026,0.039,0.09,0.062,0.082,0.082,0.082,0.06,0.022,0.026,0.027,0.026,0.022,0.008,0.003,0.004,0,0.016,0,0.06,0.035,-0.182,-0.252,-0.495,1.014,0.366,-0.599,26.664,8.523,3.133,2.697,0.759,-0.538,-2.13,-0.356,0.124,0.691,-1.111,0.425,1.108,0.856,0.801,0.621,0.311,0.715,0.55,0,0,0.002,0.007,0.448,0.59,0.033,0.722,0.901,0.49,0.267,0.671,0.268
WY,-0.901,-0.307,0.315,0.539,0.142,-0.433,1.001,-0.055,0.172,-0.013,-0.107,0.02,0.008,-0.025,0.002,0.209,-0,-0.028,0.292,0.223,0.126,0.165,0.165,0.165,0.119,0.023,0.032,0.032,0.032,0.023,0.024,0.015,0.007,0,0.028,0,0.047,0.075,-4.043,-2.429,1.909,3.271,0.859,-3.631,43.849,-1.692,5.379,-0.399,-4.653,0.839,0.53,-3.794,3.675,7.534,-5.105,-0.6,3.908,0,0.015,0.056,0.001,0.391,0,0,0.091,0,0.69,0,0.401,0.596,0,0,0,0,0.549,0
WHR,-1.606,0.286,-0.427,0.501,1.348,-0.668,0.966,-0.088,0.05,0.203,-0.147,-0.357,0.006,0.107,0.001,0.304,-0,NA,NA,0.233,0.188,0.229,0.23,0.229,0.17,0.023,0.032,0.032,0.032,0.023,0.039,0.005,0.062,0.001,0.043,0,NA,NA,-6.902,1.518,-1.862,2.182,5.883,-3.928,41.662,-2.78,1.562,6.345,-6.361,-9.218,1.206,1.714,1.975,7.038,-10.74,NA,NA,0,0.129,0.063,0.029,0,0,0,0.005,0.118,0,0,0,0.228,0.087,0.048,0,0,NA,NA
WMB,-1.54,-1.382,-0.013,1.56,0.976,-0.843,1.024,0.035,0.004,0.007,-0.074,0.091,0,-0,0.006,0.451,-0,0.813,-0.684,0.562,0.271,0.364,0.362,0.363,0.268,0.023,0.033,0.033,0.033,0.023,0.053,0.002,0.001,0.001,0.084,0,0.147,0.188,-2.74,-5.1,-0.036,4.304,2.685,-3.147,44.186,1.034,0.116,0.205,-3.253,1.712,0.089,-0.048,4.808,5.364,-3.964,5.519,-3.635,0.006,0,0.971,0,0.007,0.002,0,0.301,0.907,0.838,0.001,0.087,0.929,0.962,0,0,0,0,0
TAP,-0.253,0.012,0.048,-0.091,-0.044,0.101,0.835,0.209,-0.107,-0.017,0.065,0.018,-0.004,0.002,0,-0.009,-0,0.026,-0.112,0.138,0.081,0.113,0.113,0.113,0.078,0.023,0.029,0.029,0.029,0.022,0.01,0.012,0.002,0,0.017,0,0.048,0.041,-1.838,0.154,0.425,-0.811,-0.386,1.297,36.65,7.184,-3.641,-0.566,2.904,1.863,-0.334,0.983,1.42,-0.535,-0.663,0.54,-2.761,0.066,0.877,0.671,0.417,0.699,0.195,0,0,0,0.571,0.004,0.063,0.738,0.326,0.156,0.593,0.507,0.59,0.006
TSN,-0.415,0.021,-0.438,0.88,-0.171,-0.059,0.979,-0.082,0.007,0.152,-0.069,-0.035,-0.03,0.028,-0,0.288,-0,-0.041,0.366,0.129,0.119,0.151,0.152,0.153,0.11,0.023,0.031,0.031,0.031,0.022,0.013,0.017,0.017,0,0.024,0,0.065,0.093,-3.208,0.173,-2.893,5.806,-1.119,-0.533,42.769,-2.621,0.222,4.87,-3.061,-2.676,-1.789,1.667,-0.121,12.094,-5.122,-0.628,3.919,0.001,0.863,0.004,0,0.263,0.594,0,0.009,0.824,0,0.002,0.008,0.074,0.096,0.904,0,0,0.53,0
DHI,0.676,-1.252,0.237,0.9,1.017,-0.531,0.926,-0.007,0.044,0.16,-0.125,-0.264,0.161,0.019,-0.001,0.529,-0,-0.018,0.086,0.525,0.216,0.277,0.277,0.277,0.211,0.025,0.033,0.033,0.033,0.024,0.085,0.095,0.025,0.001,0.052,0,0.14,0.197,1.289,-5.784,0.856,3.251,3.667,-2.52,37.714,-0.214,1.321,4.814,-5.173,-3.121,1.7,0.744,-1.193,10.243,-4.212,-0.13,0.437,0.197,0,0.392,0.001,0,0.012,0,0.831,0.187,0,0,0.002,0.089,0.457,0.233,0,0,0.897,0.662
PKG,-0.486,-0.212,-0.026,0.048,0.011,0.312,0.997,0.01,-0.053,0.131,-0.088,0.008,-0.031,0.001,0.001,0.259,-0,NA,NA,0.292,0.155,0.193,0.193,0.192,0.141,0.023,0.032,0.032,0.033,0.023,0.03,0.011,0.008,0,0.03,0,NA,NA,-1.664,-1.371,-0.134,0.249,0.056,2.208,43.14,0.3,-1.641,4.016,-3.845,0.268,-2.727,0.149,2.083,8.722,-1.804,NA,NA,0.096,0.171,0.893,0.803,0.955,0.027,0,0.764,0.101,0,0,0.788,0.006,0.881,0.037,0,0.071,NA,NA
STZ,0.172,-0.605,-0.106,0.947,-0.391,0.097,0.983,0.015,0,-0.019,0.013,-0.023,0.068,-0.041,-0.001,0.086,0,-0.026,-0.041,1.097,0.632,0.82,0.82,0.818,0.572,0.022,0.032,0.032,0.032,0.023,0.085,0.082,0.083,0.002,0.121,0,0.469,0.471,0.156,-0.958,-0.129,1.155,-0.478,0.169,43.722,0.49,0.012,-0.6,0.592,-0.265,0.83,-0.495,-0.482,0.711,0.117,-0.056,-0.087,0.876,0.338,0.898,0.248,0.633,0.866,0,0.624,0.991,0.548,0.554,0.791,0.406,0.621,0.63,0.477,0.907,0.955,0.93
BWA,0.021,-0.406,0.488,-0.252,0.314,0.041,1.015,0.048,-0.147,0.063,0.003,-0.052,-0.064,-0.02,0.004,0.165,-0,-0.066,0.018,0.215,0.147,0.173,0.173,0.173,0.127,0.023,0.032,0.032,0.032,0.023,0.014,0.025,0.015,0.001,0.036,0,0.134,0.134,0.1,-2.759,2.821,-1.456,1.817,0.321,44.458,1.491,-4.577,1.947,0.154,-3.589,-2.513,-1.339,6.083,4.655,-2.881,-0.496,0.132,0.921,0.006,0.005,0.146,0.069,0.748,0,0.136,0,0.052,0.878,0,0.012,0.181,0,0,0.004,0.62,0.895
EMN,-2.642,-0.571,0.612,0.452,1.45,-0.564,0.797,0.119,-0.067,0.199,-0.086,-0.293,-0.018,-0.028,0.006,0.231,-0,NA,-0.148,0.268,0.242,0.287,0.288,0.288,0.22,0.024,0.03,0.03,0.03,0.023,0.038,0.011,0.025,0.001,0.048,0,NA,0.184,-9.876,-2.357,2.131,1.571,5.041,-2.567,33.644,3.919,-2.217,6.557,-3.677,-7.768,-1.692,-1.096,8.304,4.812,-11.619,NA,-0.806,0,0.019,0.033,0.116,0,0.01,0,0,0.027,0,0,0,0.091,0.273,0,0,0,NA,0.42
UPS,-1.834,0.037,0.095,-0.056,0.364,0.021,0.809,0.074,-0.029,0.126,-0.004,-0.013,-0,0.019,0.001,0.147,-0,0.163,0.016,0.238,0.122,0.152,0.152,0.152,0.108,0.023,0.03,0.03,0.03,0.023,0.02,0,0.01,0,0.019,0,0.074,0.037,-7.715,0.304,0.623,-0.364,2.388,0.193,35.293,2.494,-0.981,4.267,-0.175,-0.642,-1.455,1.865,3.187,7.666,-7.755,2.213,0.44,0,0.761,0.533,0.716,0.017,0.847,0,0.013,0.327,0,0.861,0.521,0.146,0.062,0.001,0,0,0.027,0.66
MCK,-0.129,-0.261,0.348,-0.098,0.167,0.072,0.959,0.059,-0.058,0.097,-0.065,-0.108,-0,0.083,-0.001,0.245,-0,NA,0.054,0.145,0.143,0.185,0.185,0.185,0.133,0.023,0.032,0.032,0.032,0.023,0.03,0.001,0.069,0,0.027,0,NA,0.104,-0.892,-1.825,1.878,-0.531,0.901,0.544,41.234,1.839,-1.817,3.019,-2.799,-3.643,-0.744,1.205,-2.318,9.157,-4.183,NA,0.515,0.372,0.068,0.061,0.596,0.368,0.586,0,0.066,0.069,0.003,0.005,0,0.457,0.228,0.021,0,0,NA,0.606
LMT,-0.72,0.05,-0.102,0.295,-0.059,-0.057,0.77,0.095,0.143,-0.08,0.057,0.012,-0,0.017,0,0.181,-0,-0.003,0.023,0.183,0.116,0.148,0.148,0.148,0.107,0.022,0.028,0.028,0.028,0.022,0.013,0,0.01,0,0.018,0,0.071,0.05,-3.935,0.436,-0.69,1.993,-0.396,-0.536,34.34,3.36,5.066,-2.816,2.545,0.881,-0.509,1.602,0.873,9.883,-3.184,-0.047,0.459,0,0.663,0.49,0.046,0.692,0.592,0,0.001,0,0.005,0.011,0.378,0.611,0.109,0.383,0,0.001,0.962,0.646
DRI,-0.772,-1.668,-1.331,1.784,3.66,-2.538,0.854,-0.064,0.064,0.415,-0.308,0.116,0.074,-0.106,0.005,0.45,-0,-0.073,0.384,0.599,0.248,0.325,0.332,0.328,0.248,0.024,0.032,0.031,0.031,0.023,0.063,0.014,0.043,0.001,0.06,0,0.118,0.174,-1.289,-6.73,-4.099,5.376,11.153,-10.235,35.695,-2.015,2.032,13.57,-13.657,1.828,5.209,-2.473,4.765,7.521,-0.577,-0.62,2.201,0.197,0,0,0,0,0,0,0.044,0.042,0,0,0.068,0,0.013,0,0,0.564,0.535,0.028
DGX,-0.554,-0.387,0.606,0.141,-0.066,-0.183,0.917,0.077,0.011,0.074,-0.086,0.017,0.037,0.032,-0,0.254,-0,NA,NA,0.145,0.127,0.164,0.165,0.164,0.121,0.023,0.031,0.031,0.031,0.023,0.025,0.038,0.011,0,0.021,0,NA,NA,-3.831,-3.039,3.692,0.856,-0.4,-1.515,40.488,2.492,0.355,2.399,-3.802,0.669,0.973,2.908,-1.625,11.956,-4.253,NA,NA,0,0.002,0,0.392,0.689,0.13,0,0.013,0.723,0.017,0,0.503,0.331,0.004,0.104,0,0,NA,NA
PXD,1.648,-0.278,-0.033,-0.395,1.475,-0.89,1.092,-0.023,-0.023,-0.074,0.008,-0.153,0.022,0.003,0.004,0.181,0,NA,NA,0.888,0.204,0.257,0.257,0.257,0.187,0.023,0.033,0.033,0.033,0.022,0.057,0.027,0.01,0.001,0.062,0,NA,NA,1.855,-1.363,-0.127,-1.54,5.742,-4.767,48.359,-0.686,-0.692,-2.233,0.381,-2.679,0.811,0.301,3.465,2.906,0.824,NA,NA,0.064,0.173,0.899,0.124,0,0,0,0.493,0.489,0.026,0.703,0.007,0.417,0.763,0.001,0.004,0.41,NA,NA
VLO,-0.441,-0.798,0.858,-0.571,1.957,-0.901,0.886,0.072,-0.046,0.136,-0.072,-0.201,0.049,0.079,0.005,0.556,-0,NA,NA,0.271,0.267,0.325,0.325,0.324,0.243,0.023,0.031,0.031,0.031,0.023,0.043,0.015,0.049,0.001,0.076,0,NA,NA,-1.627,-2.994,2.639,-1.757,6.03,-3.713,38.089,2.322,-1.49,4.344,-3.103,-4.635,3.223,1.592,4.843,7.277,-5.019,NA,NA,0.104,0.003,0.008,0.079,0,0,0,0.02,0.136,0,0.002,0,0.001,0.112,0,0,0,NA,NA
YUM,0.432,-1.117,-0.438,1.869,1.799,-2.089,0.938,0.02,-0.015,0.212,-0.17,-0.082,NA,0.002,0.006,0.51,0,-0.002,4.035,0.363,0.418,0.568,0.566,0.568,0.414,0.022,0.031,0.03,0.03,0.022,0.085,NA,0.03,0.001,0.076,0,0.202,0.29,1.188,-2.673,-0.77,3.302,3.165,-5.042,41.905,0.668,-0.491,6.973,-7.643,-0.973,NA,0.082,5.224,6.714,0.224,-0.012,13.915,0.235,0.008,0.441,0.001,0.002,0,0,0.504,0.624,0,0,0.331,NA,0.934,0,0,0.823,0.991,0
FE,-3.325,0.1,0.57,-0.06,0.101,-0.002,1,0.065,-0.071,0.004,-0.015,0.188,-0.018,-0.116,0.001,0.231,-0,0.474,0.085,0.402,0.184,0.237,0.238,0.237,0.165,0.023,0.033,0.033,0.033,0.023,0.028,0.004,0.045,0,0.031,0,0.069,0.072,-8.278,0.542,2.402,-0.252,0.429,-0.01,43.295,1.981,-2.151,0.11,-0.637,6.679,-4.566,-2.553,3.369,7.445,-9.273,6.825,1.184,0,0.588,0.016,0.801,0.668,0.992,0,0.048,0.032,0.912,0.524,0,0,0.011,0.001,0,0,0,0.236
SEE,0.218,-2.124,0.869,0.994,1.233,-0.458,0.894,0.097,-0.139,0.203,-0.07,-0.236,0,0.021,0.006,0.387,-0,0.345,-0.014,0.201,0.342,0.436,0.433,0.436,0.326,0.024,0.031,0.031,0.031,0.023,0.061,0,0.037,0.001,0.072,0,0.273,0.272,1.085,-6.208,1.994,2.294,2.829,-1.403,37.868,3.086,-4.46,6.527,-3.081,-3.879,1.548,0.573,5.344,5.345,-3.483,1.265,-0.053,0.278,0,0.046,0.022,0.005,0.161,0,0.002,0,0,0.002,0,0.122,0.567,0,0,0.001,0.206,0.958
RSG,0.204,0.06,-0.026,-0.034,-0.074,0.051,0.703,0.165,0.148,0.035,-0.058,0.001,-0.055,-0.012,0.001,-0,0,NA,NA,0.143,0.066,0.089,0.089,0.089,0.065,0.022,0.027,0.027,0.027,0.022,0.013,0.029,0.012,0,0.009,0,NA,NA,1.43,0.915,-0.292,-0.385,-0.838,0.785,31.352,6,5.386,1.274,-2.608,0.11,-1.878,-1.025,4.729,-0.017,1.02,NA,NA,0.153,0.36,0.77,0.7,0.402,0.433,0,0,0,0.203,0.009,0.913,0.061,0.306,0,0.986,0.308,NA,NA
SRE,-0.896,-0.086,0.151,0.222,-0.044,-0.107,1.027,-0.007,-0.01,0.061,-0.075,0.043,-0,0.035,0,0.176,-0,NA,NA,0.29,0.113,0.139,0.138,0.138,0.101,0.023,0.032,0.032,0.033,0.023,0.017,0.006,0.015,0,0.019,0,NA,NA,-3.085,-0.758,1.09,1.607,-0.317,-1.063,45.54,-0.208,-0.305,1.875,-3.312,2.587,-0.072,2.417,1.546,9.512,-2.762,NA,NA,0.002,0.448,0.276,0.108,0.751,0.288,0,0.835,0.761,0.061,0.001,0.01,0.943,0.016,0.122,0,0.006,NA,NA
DVN,-4.558,-0.957,-0.102,1.213,1.723,-1.155,1.023,-0.044,-0.04,0.157,-0.102,0.325,-0.085,0.07,0.017,0.774,-0,0.149,0.451,0.873,0.362,0.471,0.47,0.471,0.351,0.025,0.035,0.035,0.035,0.024,0.077,0.022,0.043,0.002,0.129,0,0.482,0.28,-5.223,-2.648,-0.217,2.583,3.655,-3.296,41.207,-1.239,-1.133,4.448,-4.162,4.231,-3.902,1.622,7.054,6.009,-7.067,0.309,1.611,0,0.008,0.828,0.01,0,0.001,0,0.215,0.257,0,0,0,0,0.105,0,0,0,0.758,0.107
NRG,1.108,-2.385,0.304,1.491,2.546,-1.352,0.894,0.025,0.05,0.14,-0.111,-0.294,-0,0.012,-0.002,1.079,-0,-0.35,2.853,0.433,0.484,0.625,0.625,0.625,0.469,0.024,0.033,0.033,0.033,0.024,0.083,0,0.042,0.002,0.127,0,0.221,0.352,2.559,-4.925,0.487,2.386,4.077,-2.882,36.682,0.765,1.534,4.258,-4.612,-3.548,-1.446,0.277,-0.876,8.473,-4.449,-1.581,8.115,0.011,0,0.626,0.017,0,0.004,0,0.445,0.125,0,0,0,0.148,0.782,0.381,0,0,0.114,0
MGM,1.807,-2.806,0.616,2.961,2.201,-1.544,0.749,0.119,0.123,0.139,-0.171,-0.759,-0.067,0.133,0.03,0.764,-0,0.873,0.346,0.52,0.431,0.562,0.559,0.566,0.417,0.024,0.031,0.03,0.031,0.023,0.097,0.019,0.023,0.003,0.136,0,0.35,0.296,3.477,-6.504,1.095,5.301,3.892,-3.706,31.33,3.878,4.027,4.539,-7.466,-7.796,-3.568,5.753,11.3,5.629,-8.975,2.492,1.171,0.001,0,0.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.242
DAL,1.677,-1.634,1.808,1.993,0.05,-0.418,0.932,0.069,0.038,-0.008,-0.047,-0.838,-0,0.057,0.017,0.255,-0,-0.042,-0.595,0.499,0.537,0.635,0.635,0.637,0.473,0.024,0.033,0.033,0.033,0.024,0.107,0,0.083,0.003,0.141,0,0.303,0.307,3.362,-3.043,2.845,3.139,0.078,-0.883,38.062,2.076,1.144,-0.251,-1.974,-7.867,-0.218,0.682,6.403,1.808,-7.535,-0.139,-1.941,0.001,0.002,0.004,0.002,0.938,0.377,0,0.038,0.253,0.802,0.049,0,0.828,0.496,0,0.071,0,0.89,0.052
EMR,0.019,0.011,-0.04,0.061,-0.059,-0.044,0.785,0.115,-0.036,0.056,0.067,0.023,0.003,-0.007,0,-0.003,0,NA,NA,0.061,0.053,0.061,0.061,0.061,0.045,0.023,0.029,0.029,0.029,0.022,0.01,0.003,0.003,0,0.01,0,NA,NA,0.317,0.212,-0.65,0.999,-0.962,-0.994,34.854,4.033,-1.267,1.962,3.003,2.225,0.793,-2.172,3.116,-0.295,1.989,NA,NA,0.751,0.832,0.516,0.318,0.336,0.32,0,0,0.205,0.05,0.003,0.026,0.428,0.03,0.002,0.768,0.047,NA,NA
ITW,-0.329,0.004,-0.016,0.041,-0.005,-0.011,0.983,0.009,-0.059,-0.004,0.049,0.028,-0.003,0.003,0,-0.004,-0,NA,NA,0.102,0.032,0.043,0.043,0.043,0.031,0.023,0.032,0.032,0.032,0.022,0.011,0.002,0.002,0,0.006,0,NA,NA,-3.215,0.133,-0.374,0.965,-0.107,-0.346,43.684,0.294,-1.875,-0.139,2.201,2.495,-1.89,1.54,3.884,-0.713,-1.681,NA,NA,0.001,0.894,0.708,0.335,0.915,0.729,0,0.769,0.061,0.889,0.028,0.013,0.059,0.124,0,0.476,0.093,NA,NA
SO,-1.624,0.283,0.698,-0.953,0.4,-0.097,0.928,0.082,-0.037,0.074,-0.05,0.067,0.014,-0.003,0,0.052,-0,0.005,-0.014,0.373,0.133,0.161,0.162,0.163,0.114,0.023,0.031,0.031,0.031,0.023,0.02,0.01,0.01,0,0.019,0,0.073,0.042,-4.359,2.125,4.326,-5.881,2.449,-0.853,41.003,2.643,-1.209,2.427,-2.22,3.408,1.391,-0.278,1.342,2.71,-4.528,0.063,-0.338,0,0.034,0,0,0.014,0.394,0,0.008,0.227,0.015,0.027,0.001,0.164,0.781,0.18,0.007,0,0.95,0.736
GE,2.478,-1.97,-0.018,1.355,2.092,-1.568,0.965,-0.173,0.027,0.255,-0.151,-0.262,0.013,-0.023,0.012,0.358,-0,0.03,-0.165,0.706,0.367,0.5,0.5,0.501,0.363,0.026,0.036,0.036,0.036,0.025,0.068,0.012,0.034,0.002,0.09,0,0.162,0.162,3.512,-5.375,-0.037,2.709,4.18,-4.323,37.408,-4.886,0.759,7.178,-5.982,-3.858,1.077,-0.664,7.7,3.968,-2.463,0.185,-1.022,0,0,0.971,0.007,0,0,0,0,0.448,0,0,0,0.282,0.507,0,0,0.014,0.853,0.307
DVA,0.898,-1.524,1.442,0.026,-0.054,0.283,0.99,0.048,-0.05,0.028,-0.022,-0.209,0.028,-0.215,0.002,0.438,0,NA,NA,1.584,0.695,0.892,0.894,0.892,0.656,0.025,0.036,0.036,0.036,0.025,0.31,0.022,0.071,0.003,0.167,0,NA,NA,0.567,-2.193,1.616,0.029,-0.06,0.431,39.095,1.343,-1.405,0.784,-0.879,-0.675,1.252,-3.029,0.769,2.622,0.136,NA,NA,0.571,0.028,0.106,0.977,0.952,0.667,0,0.179,0.16,0.433,0.379,0.5,0.211,0.002,0.442,0.009,0.892,NA,NA
DD,-0.23,-0.186,0.377,-0.411,0.158,0.208,0.96,0.067,-0.062,0.115,-0.092,-0.13,0.121,0.291,0.004,0.125,-0,0.212,NA,0.436,0.18,0.245,0.245,0.247,0.177,0.041,0.057,0.057,0.057,0.041,0.062,0.035,0.061,0.001,0.028,0,0.063,NA,-0.527,-1.035,1.539,-1.674,0.64,1.176,23.405,1.168,-1.09,2.011,-2.248,-2.079,3.427,4.729,4.696,4.422,-0.979,3.364,NA,0.598,0.301,0.124,0.095,0.522,0.24,0,0.243,0.276,0.045,0.025,0.038,0.001,0,0,0,0.328,0.001,NA
MOS,-0.692,0,-0,0,-0,0,NA,NA,NA,NA,NA,0,-0,0,-0,-0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,-20745003481732.06,0.013,-0.164,0.661,-0.964,0.386,NA,NA,NA,NA,NA,0.982,-1.124,1.475,-0.907,-0.466,0.245,NA,0.187,0,0.989,0.87,0.509,0.335,0.7,NA,NA,NA,NA,NA,0.326,0.261,0.141,0.364,0.641,0.807,NA,0.852
DXC,-10.663,-0.491,1.087,-0.557,1.114,-0.968,0.859,0.035,-0.058,0.093,-0.078,0.957,-0.033,-0.128,0.006,0.092,-0,NA,NA,5.521,0.826,0.964,0.977,0.98,0.725,0.082,0.108,0.108,0.108,0.081,0.621,0.264,0.202,0.003,0.096,0,NA,NA,-1.931,-0.594,1.127,-0.57,1.137,-1.335,10.527,0.329,-0.539,0.857,-0.959,1.541,-0.126,-0.634,1.872,0.956,-1.561,NA,NA,0.055,0.554,0.261,0.57,0.257,0.184,0,0.743,0.591,0.393,0.339,0.125,0.9,0.527,0.063,0.341,0.121,NA,NA
IR,1,-0,-0,0,-0,0,NA,NA,NA,NA,NA,-0,0,0,-0,0,-0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,23918867402424.145,-0.552,-0.219,1.189,-0.447,0.218,NA,NA,NA,NA,NA,-2.493,1.31,0.19,-3.01,1.181,-0.319,NA,NA,0,0.581,0.826,0.235,0.655,0.828,NA,NA,NA,NA,NA,0.013,0.191,0.85,0.003,0.238,0.75,NA,NA
EOG,1,-0,0,-0,-0,0,0,-0,-0,0,-0,-0,0,0,-0,0,-0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,12758712974381258e12,-1.259,5.962,-4.42,-3.149,5.408,24726473613946156,-8.506,-5.789,4.67,-0.709,-0.895,0.581,0.855,-0.324,2.898,-0.318,NA,NA,0,0.209,0,0,0.002,0,0,0,0,0,0.479,0.371,0.562,0.393,0.746,0.004,0.75,NA,NA
FMC,1,0,-0,-0,0,-0,NA,NA,NA,NA,NA,0,0,0,-0,0,-0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,15666895770860.383,1.525,-3.948,-0.643,5.507,-1.682,NA,NA,NA,NA,NA,1.748,0.695,2.676,-1.205,0.255,-0.911,NA,NA,0,0.128,0,0.521,0,0.093,NA,NA,NA,NA,NA,0.081,0.487,0.008,0.229,0.799,0.363,NA,NA
ED,1,-0,-0,-0,0,0,NA,NA,NA,NA,NA,0,0,-0,0,-0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,6205460977129.076,-0.064,-0.18,-0.417,0.434,0.345,NA,NA,NA,NA,NA,2.576,1.353,-1.546,1.603,-0.269,0.332,NA,NA,0,0.949,0.857,0.677,0.665,0.73,NA,NA,NA,NA,NA,0.01,0.177,0.123,0.11,0.788,0.74,NA,NA
CMS,1,-0,0,-0,0,-0,NA,NA,NA,NA,NA,-0,0,0,-0,-0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,7995140389644.189,-0.227,0.254,-2.983,2.659,-1.743,NA,NA,NA,NA,NA,-0.155,0.216,1.712,-0.456,-0.492,1.442,NA,NA,0,0.821,0.8,0.004,0.009,0.084,NA,NA,NA,NA,NA,0.877,0.829,0.09,0.649,0.624,0.152,NA,NA
CNP,1,0,-0,-0,0,-0,NA,NA,NA,NA,NA,-0,0,-0,-0,0,-0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,16126794381794.371,0.292,-0.946,-0.867,1.593,-1.722,NA,NA,NA,NA,NA,-2.197,20.375,-1.888,-5.011,1.823,-0.509,NA,NA,0,0.771,0.347,0.388,0.114,0.088,NA,NA,NA,NA,NA,0.03,0,0.062,0,0.071,0.612,NA,NA
