"","V1"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",0.134570700142857
"8",0.291978626952381
"9",0.367447408380952
"10",0.449833074571429
"11",0.476764569142857
"12",0.486643045571429
"13",0.434582360142857
"14",0.28697874752381
"15",0.11324940952381
"16",0.0205803364285714
"17",-0.0500612303333333
"18",-0.122466914238095
"19",-0.157807470571429
"20",-0.17343057547619
"21",-0.213364495428571
"22",-0.239320213333333
"23",-0.26517133047619
"24",-0.290581368809524
"25",-0.293010799047619
"26",-0.303057977428571
"27",-0.311153109095238
"28",-0.301092360047619
"29",-0.269396954095238
"30",-0.2570623
"31",-0.214053584095238
"32",-0.173533316428571
"33",-0.123791760047619
"34",-0.0297644020952381
"35",0.0544902014285714
"36",0.130668570809524
"37",0.270116077
"38",0.391363039095238
"39",0.448241463095238
"40",0.49804018947619
"41",0.466636496666667
"42",0.411196053095238
"43",0.325713241809524
"44",0.219920336428571
"45",0.102805575904762
"46",0.0236353440476191
"47",-0.0489739338095238
"48",-0.0964463357619048
"49",-0.102608454047619
"50",-0.0977047223333333
"51",-0.090089822047619
"52",-0.0679352745714286
"53",-0.018236301047619
"54",0.021309350047619
"55",0.12723520752381
"56",0.227344153619048
"57",0.320080132809524
"58",0.325148307238095
"59",0.349356611857143
"60",0.303113805047619
"61",0.273029082095238
"62",0.203684796190476
"63",0.130750352619048
"64",0.10873254252381
"65",0.161279964142857
"66",0.210315755809524
"67",0.33766396147619
"68",0.420948375714286
"69",0.463227266380952
"70",0.474092771285714
"71",0.416321891285714
"72",0.400462155
"73",0.365455282476191
"74",0.283420321333333
"75",0.22662990247619
"76",0.19897787952381
"77",0.190115630619048
"78",0.200960187142857
"79",0.167009723380952
"80",0.129335267
"81",0.107858609095238
"82",0.0798343918571429
"83",0.0461571738571429
"84",0.0157445774285714
"85",-0.0362743971904762
"86",-0.0865036180476191
"87",-0.146090410047619
"88",-0.189886580285714
"89",-0.229981527952381
"90",-0.259217695142857
"91",-0.275530606666667
"92",-0.239673867857143
"93",-0.23566608852381
"94",-0.231527044380952
"95",-0.247697300428571
"96",-0.25703826147619
"97",-0.284575742333333
"98",-0.31994333652381
"99",-0.384753111523809
"100",-0.405292715238095
"101",-0.415935775761905
"102",-0.417605029857143
"103",-0.375829857523809
"104",-0.293946809095238
"105",-0.239930917857143
"106",-0.190098434619048
"107",-0.135088556619048
"108",-0.0817934595714286
"109",-0.0023376630952381
"110",0.100690608904762
"111",0.219581604285714
"112",0.454600499238095
"113",0.640069736523809
"114",0.769073551428571
"115",0.897467124761905
"116",0.937551265761905
"117",0.919049577095238
"118",0.867812077619048
"119",0.864476650857143
"120",0.863046739428571
"121",0.811169853761905
"122",0.63954428752381
"123",0.487387207285714
"124",0.332868380666667
"125",0.168905551761905
"126",-0.119365441904762
"127",-0.339870262380952
"128",-0.509007995380952
"129",-0.576130626285714
"130",-0.544899338190476
"131",-0.544892957904762
"132",-0.515698461380952
"133",-0.498833109857143
"134",-0.493957655809524
"135",-0.447522447095238
"136",-0.400185371142857
"137",-0.417422532095238
"138",-0.406169258952381
"139",-0.349650386380952
"140",-0.25904471247619
"141",-0.0692331352857143
"142",0.0807956732857143
"143",0.338049350380952
"144",0.896836007666667
"145",1.38352783633333
"146",1.59386507233333
"147",1.5819912407619
"148",1.42097605528571
"149",1.30117425090476
"150",1.08917642157143
"151",0.59589022947619
"152",0.145935642476191
"153",-0.104289935952381
"154",-0.150699376904762
"155",-0.110274616619048
"156",-0.061904798047619
"157",-0.0527226013333333
"158",-0.0518166005714286
"159",-0.0434924938571428
"160",-0.0351363943809524
"161",-0.0271763648095238
"162",-0.0870786633809524
"163",-0.132900736809524
"164",-0.137047561761905
"165",-0.170068376333333
"166",-0.20018861847619
"167",-0.218531306619048
"168",-0.207494991333333
"169",-0.179269970142857
"170",-0.154654938761905
"171",-0.0882835466666667
"172",0.0283252560952381
"173",0.194458318952381
"174",0.258614281333333
"175",0.25530096
"176",0.224627061285714
"177",0.187208640238095
"178",0.110555941285714
"179",0.00791233971428571
"180",-0.135679501666667
"181",-0.196580943190476
"182",-0.213458325095238
"183",-0.18321674247619
"184",-0.135615315142857
"185",-0.111993791952381
"186",-0.0915556783333333
"187",-0.0888580372857143
"188",-0.0891437517619048
"189",-0.0312626606666667
"190",0.0394546517142857
"191",-0.00589361623809523
"192",-0.067314797
"193",-0.176542365857143
"194",-0.224357356238095
"195",-0.268404617285714
"196",-0.370744467428571
"197",-0.485153482095238
"198",-0.475696069619048
"199",-0.417979121428571
"200",-0.314566376142857
"201",-0.264332326333333
"202",-0.16767295947619
"203",-0.103239685047619
"204",-0.0350851779047619
