RCHRG_DT_KEY,RCHRG_SUM
2/8/2024,87019175
2/9/2024,605232795
2/10/2024,470523287
2/11/2024,426397696
2/12/2024,465972560
2/13/2024,439459784
2/14/2024,437582773
2/15/2024,385949679
2/16/2024,564026211
2/17/2024,451499495
2/18/2024,409891175
2/19/2024,466867805
2/20/2024,422871281
2/21/2024,427111929
2/22/2024,387869517
2/23/2024,436691593
2/24/2024,426003017
2/25/2024,385970853
2/26/2024,441971575
2/27/2024,504671106
2/28/2024,470564879
2/29/2024,609759260
